Orthogroup	Praf	Prbl
OG0000414	Praf.g_02025	Prbl.g_01223
OG0000415	Praf.g_02024	Prbl.g_01224
OG0000416	Praf.g_02016	Prbl.g_02673
OG0000417	Praf.g_02015	Prbl.g_02674
OG0000418	Praf.g_02012	Prbl.g_02677
OG0000419	Praf.g_02011	Prbl.g_02678
OG0000420	Praf.g_01616	Prbl.g_01564
OG0000421	Praf.g_00322	Prbl.g_00609
OG0000422	Praf.g_00495	Prbl.g_00410
OG0000423	Praf.g_01003	Prbl.g_01693
OG0000424	Praf.g_02201	Prbl.g_02681
OG0000425	Praf.g_02002	Prbl.g_00676
OG0000426	Praf.g_02001	Prbl.g_00675
OG0000427	Praf.g_01999	Prbl.g_00663
OG0000428	Praf.g_01990	Prbl.g_00653
OG0000429	Praf.g_01989	Prbl.g_00652
OG0000430	Praf.g_01987	Prbl.g_00650
OG0000431	Praf.g_01986	Prbl.g_00649
OG0000432	Praf.g_01985	Prbl.g_00648
OG0000433	Praf.g_01984	Prbl.g_00647
OG0000434	Praf.g_01982	Prbl.g_00645
OG0000435	Praf.g_01981	Prbl.g_00644
OG0000436	Praf.g_01980	Prbl.g_00643
OG0000437	Praf.g_01979	Prbl.g_00642
OG0000438	Praf.g_01978	Prbl.g_00641
OG0000439	Praf.g_01977	Prbl.g_00640
OG0000440	Praf.g_01972	Prbl.g_00639
OG0000441	Praf.g_01963	Prbl.g_00635
OG0000442	Praf.g_01962	Prbl.g_00634
OG0000443	Praf.g_01961	Prbl.g_00633
OG0000444	Praf.g_01960	Prbl.g_00632
OG0000445	Praf.g_01959	Prbl.g_00625
OG0000446	Praf.g_01957	Prbl.g_00623
OG0000447	Praf.g_01956	Prbl.g_00622
OG0000448	Praf.g_01952	Prbl.g_00619
OG0000449	Praf.g_01942	Prbl.g_01364
OG0000450	Praf.g_01941	Prbl.g_01363
OG0000451	Praf.g_01938	Prbl.g_01360
OG0000452	Praf.g_01915	Prbl.g_01348
OG0000453	Praf.g_01913	Prbl.g_01346
OG0000454	Praf.g_01911	Prbl.g_01344
OG0000455	Praf.g_01909	Prbl.g_01342
OG0000456	Praf.g_00586	Prbl.g_00503
OG0000457	Praf.g_00589	Prbl.g_00506
OG0000458	Praf.g_00594	Prbl.g_00510
OG0000459	Praf.g_00596	Prbl.g_00512
OG0000460	Praf.g_00598	Prbl.g_00514
OG0000461	Praf.g_00599	Prbl.g_00515
OG0000462	Praf.g_00600	Prbl.g_00516
OG0000463	Praf.g_00603	Prbl.g_00519
OG0000464	Praf.g_00605	Prbl.g_00521
OG0000465	Praf.g_00606	Prbl.g_00522
OG0000466	Praf.g_00607	Prbl.g_00523
OG0000467	Praf.g_00608	Prbl.g_00524
OG0000468	Praf.g_00609	Prbl.g_00525
OG0000469	Praf.g_00610	Prbl.g_00526
OG0000470	Praf.g_00611	Prbl.g_00527
OG0000471	Praf.g_00612	Prbl.g_00528
OG0000472	Praf.g_00619	Prbl.g_00536
OG0000473	Praf.g_00621	Prbl.g_00806
OG0000474	Praf.g_00622	Prbl.g_00805
OG0000475	Praf.g_00623	Prbl.g_00804
OG0000476	Praf.g_00626	Prbl.g_00801
OG0000477	Praf.g_00627	Prbl.g_00800
OG0000478	Praf.g_00628	Prbl.g_00799
OG0000479	Praf.g_00629	Prbl.g_00798
OG0000480	Praf.g_00630	Prbl.g_00797
OG0000481	Praf.g_00631	Prbl.g_00795
OG0000482	Praf.g_00632	Prbl.g_00794
OG0000483	Praf.g_00634	Prbl.g_00792
OG0000484	Praf.g_00635	Prbl.g_00791
OG0000485	Praf.g_00636	Prbl.g_00790
OG0000486	Praf.g_00641	Prbl.g_00785
OG0000487	Praf.g_00646	Prbl.g_00780
OG0000488	Praf.g_00647	Prbl.g_00779
OG0000489	Praf.g_00648	Prbl.g_00778
OG0000490	Praf.g_00650	Prbl.g_00776
OG0000491	Praf.g_00651	Prbl.g_00775
OG0000492	Praf.g_00656	Prbl.g_00770
OG0000493	Praf.g_01177	Prbl.g_01526
OG0000494	Praf.g_01131	Prbl.g_00032
OG0000495	Praf.g_00661	Prbl.g_00765
OG0000496	Praf.g_00663	Prbl.g_00763
OG0000497	Praf.g_00665	Prbl.g_00761
OG0000498	Praf.g_00666	Prbl.g_00760
OG0000499	Praf.g_00670	Prbl.g_00754
OG0000500	Praf.g_00673	Prbl.g_00751
OG0000501	Praf.g_00675	Prbl.g_00749
OG0000502	Praf.g_00677	Prbl.g_00747
OG0000503	Praf.g_00683	Prbl.g_02645
OG0000504	Praf.g_00684	Prbl.g_01878
OG0000505	Praf.g_00685	Prbl.g_01879
OG0000506	Praf.g_00687	Prbl.g_01881
OG0000507	Praf.g_00688	Prbl.g_01882
OG0000508	Praf.g_00689	Prbl.g_01883
OG0000509	Praf.g_00690	Prbl.g_01884
OG0000510	Praf.g_00691	Prbl.g_01885
OG0000511	Praf.g_00693	Prbl.g_01887
OG0000512	Praf.g_00694	Prbl.g_01888
OG0000513	Praf.g_00695	Prbl.g_01889
OG0000514	Praf.g_00696	Prbl.g_01890
OG0000515	Praf.g_00697	Prbl.g_01891
OG0000516	Praf.g_00698	Prbl.g_01892
OG0000517	Praf.g_00700	Prbl.g_01894
OG0000518	Praf.g_00701	Prbl.g_01895
OG0000519	Praf.g_00703	Prbl.g_01897
OG0000520	Praf.g_00705	Prbl.g_01899
OG0000521	Praf.g_00706	Prbl.g_01900
OG0000522	Praf.g_00707	Prbl.g_01901
OG0000523	Praf.g_00708	Prbl.g_01902
OG0000524	Praf.g_00709	Prbl.g_01903
OG0000525	Praf.g_00711	Prbl.g_01905
OG0000526	Praf.g_00712	Prbl.g_01801
OG0000527	Praf.g_00713	Prbl.g_01800
OG0000528	Praf.g_00714	Prbl.g_01799
OG0000529	Praf.g_00716	Prbl.g_01797
OG0000530	Praf.g_00717	Prbl.g_01796
OG0000531	Praf.g_00718	Prbl.g_01795
OG0000532	Praf.g_00719	Prbl.g_01794
OG0000533	Praf.g_00723	Prbl.g_01790
OG0000534	Praf.g_00724	Prbl.g_01789
OG0000535	Praf.g_00725	Prbl.g_01788
OG0000536	Praf.g_00726	Prbl.g_01787
OG0000537	Praf.g_00728	Prbl.g_01786
OG0000538	Praf.g_00729	Prbl.g_01785
OG0000539	Praf.g_00733	Prbl.g_01781
OG0000540	Praf.g_00734	Prbl.g_01780
OG0000541	Praf.g_00735	Prbl.g_01779
OG0000542	Praf.g_00739	Prbl.g_01775
OG0000543	Praf.g_00740	Prbl.g_01774
OG0000544	Praf.g_00741	Prbl.g_01773
OG0000545	Praf.g_00742	Prbl.g_01772
OG0000546	Praf.g_00749	Prbl.g_01766
OG0000547	Praf.g_00750	Prbl.g_01765
OG0000548	Praf.g_00751	Prbl.g_01764
