Orthogroup	Syae	Prbm
OG0000500	Syae.g_01917	Prbm.g_00375
OG0000501	Syae.g_01914	Prbm.g_00376
OG0000502	Syae.g_01902	Prbm.g_00379
OG0000503	Syae.g_02192	Prbm.g_00400
OG0000504	Syae.g_02194	Prbm.g_00402
OG0000505	Syae.g_02195	Prbm.g_00403
OG0000506	Syae.g_02197	Prbm.g_00404
OG0000507	Syae.g_02203	Prbm.g_00407
OG0000508	Syae.g_02207	Prbm.g_00410
OG0000509	Syae.g_02209	Prbm.g_00412
OG0000510	Syae.g_02210	Prbm.g_00413
OG0000511	Syae.g_02211	Prbm.g_00414
OG0000512	Syae.g_02213	Prbm.g_00416
OG0000513	Syae.g_02223	Prbm.g_00426
OG0000514	Syae.g_02229	Prbm.g_00440
OG0000515	Syae.g_02230	Prbm.g_00441
OG0000516	Syae.g_01000	Prbm.g_00442
OG0000517	Syae.g_00995	Prbm.g_00445
OG0000518	Syae.g_00983	Prbm.g_00456
OG0000519	Syae.g_00982	Prbm.g_00457
OG0000520	Syae.g_00981	Prbm.g_00458
OG0000521	Syae.g_02491	Prbm.g_00480
OG0000522	Syae.g_02493	Prbm.g_00482
OG0000523	Syae.g_02494	Prbm.g_00483
OG0000524	Syae.g_02501	Prbm.g_00490
OG0000525	Syae.g_02520	Prbm.g_00494
OG0000526	Syae.g_02523	Prbm.g_00495
OG0000527	Syae.g_02528	Prbm.g_00498
OG0000528	Syae.g_02304	Prbm.g_00504
OG0000529	Syae.g_02310	Prbm.g_00507
OG0000530	Syae.g_02313	Prbm.g_00510
OG0000531	Syae.g_02314	Prbm.g_00511
OG0000532	Syae.g_02317	Prbm.g_00512
OG0000533	Syae.g_02318	Prbm.g_00513
OG0000534	Syae.g_02319	Prbm.g_00514
OG0000535	Syae.g_02320	Prbm.g_00515
OG0000536	Syae.g_02321	Prbm.g_00516
OG0000537	Syae.g_02322	Prbm.g_00517
OG0000538	Syae.g_02333	Prbm.g_00534
OG0000539	Syae.g_02334	Prbm.g_00535
OG0000540	Syae.g_02335	Prbm.g_00536
OG0000541	Syae.g_02336	Prbm.g_00537
OG0000542	Syae.g_02339	Prbm.g_00539
OG0000543	Syae.g_02341	Prbm.g_00541
OG0000544	Syae.g_02342	Prbm.g_00542
OG0000545	Syae.g_02344	Prbm.g_00544
OG0000546	Syae.g_02346	Prbm.g_00547
OG0000547	Syae.g_02348	Prbm.g_00549
OG0000548	Syae.g_02349	Prbm.g_00550
OG0000549	Syae.g_02354	Prbm.g_00553
OG0000550	Syae.g_02358	Prbm.g_00557
OG0000551	Syae.g_02363	Prbm.g_00560
OG0000552	Syae.g_02364	Prbm.g_00561
OG0000553	Syae.g_02366	Prbm.g_00562
OG0000554	Syae.g_02375	Prbm.g_00567
