Orthogroup	Prap	Pral
OG0000508	Prap.g_01191	Pral.g_00510
OG0000509	Prap.g_01190	Pral.g_00509
OG0000510	Prap.g_01189	Pral.g_00508
OG0000511	Prap.g_01188	Pral.g_00507
OG0000512	Prap.g_01187	Pral.g_00506
OG0000513	Prap.g_01186	Pral.g_00505
OG0000514	Prap.g_01185	Pral.g_00504
OG0000515	Prap.g_01182	Pral.g_00503
OG0000516	Prap.g_01181	Pral.g_00502
OG0000517	Prap.g_01180	Pral.g_00501
OG0000518	Prap.g_01177	Pral.g_00498
OG0000519	Prap.g_01176	Pral.g_00497
OG0000520	Prap.g_01175	Pral.g_00496
OG0000521	Prap.g_01174	Pral.g_00495
OG0000522	Prap.g_01173	Pral.g_00494
OG0000523	Prap.g_01172	Pral.g_00493
OG0000524	Prap.g_01171	Pral.g_00492
OG0000525	Prap.g_01169	Pral.g_00490
OG0000526	Prap.g_01168	Pral.g_00489
OG0000527	Prap.g_01167	Pral.g_00488
OG0000528	Prap.g_01166	Pral.g_00487
OG0000529	Prap.g_01165	Pral.g_00486
OG0000530	Prap.g_01164	Pral.g_00485
OG0000531	Prap.g_01162	Pral.g_00483
OG0000532	Prap.g_01161	Pral.g_00482
OG0000533	Prap.g_01160	Pral.g_00481
OG0000534	Prap.g_01159	Pral.g_00480
OG0000535	Prap.g_01158	Pral.g_00479
OG0000536	Prap.g_01157	Pral.g_00478
OG0000537	Prap.g_01156	Pral.g_00477
OG0000538	Prap.g_01155	Pral.g_00476
OG0000539	Prap.g_01154	Pral.g_00475
OG0000540	Prap.g_01153	Pral.g_00474
OG0000541	Prap.g_01152	Pral.g_00472
OG0000542	Prap.g_01151	Pral.g_00471
OG0000543	Prap.g_01150	Pral.g_00470
OG0000544	Prap.g_01149	Pral.g_00469
OG0000545	Prap.g_01147	Pral.g_00466
OG0000546	Prap.g_01146	Pral.g_00465
OG0000547	Prap.g_01144	Pral.g_00464
OG0000548	Prap.g_01142	Pral.g_00462
OG0000549	Prap.g_01141	Pral.g_00461
OG0000550	Prap.g_01140	Pral.g_00460
OG0000551	Prap.g_01138	Pral.g_00459
OG0000552	Prap.g_01137	Pral.g_00458
OG0000553	Prap.g_00397	Pral.g_01430
OG0000554	Prap.g_00396	Pral.g_01432
OG0000555	Prap.g_00395	Pral.g_01433
OG0000556	Prap.g_00394	Pral.g_01434
OG0000557	Prap.g_00393	Pral.g_01435
OG0000558	Prap.g_00392	Pral.g_01436
OG0000559	Prap.g_00391	Pral.g_01437
OG0000560	Prap.g_00389	Pral.g_01439
OG0000561	Prap.g_00388	Pral.g_01440
OG0000562	Prap.g_00386	Pral.g_01441
OG0000563	Prap.g_00385	Pral.g_01442
OG0000564	Prap.g_00384	Pral.g_01443
OG0000565	Prap.g_00383	Pral.g_01444
OG0000566	Prap.g_00382	Pral.g_01445
OG0000567	Prap.g_00381	Pral.g_01446
OG0000568	Prap.g_00380	Pral.g_01447
OG0000569	Prap.g_00379	Pral.g_01448
OG0000570	Prap.g_00378	Pral.g_01449
OG0000571	Prap.g_00377	Pral.g_01450
OG0000572	Prap.g_00376	Pral.g_01451
OG0000573	Prap.g_00373	Pral.g_01454
OG0000574	Prap.g_00372	Pral.g_01455
OG0000575	Prap.g_00371	Pral.g_01456
OG0000576	Prap.g_00370	Pral.g_01457
