Orthogroup	Prat	Prah
OG0000360	Prat.g_00009	Prah.g_00011
OG0000361	Prat.g_00010	Prah.g_00012
OG0000362	Prat.g_00013	Prah.g_00014
OG0000363	Prat.g_00015	Prah.g_00016
OG0000364	Prat.g_00016	Prah.g_00017
OG0000365	Prat.g_00021	Prah.g_00026
OG0000366	Prat.g_00022	Prah.g_00027
OG0000367	Prat.g_00023	Prah.g_00028
OG0000368	Prat.g_00025	Prah.g_00030
OG0000369	Prat.g_00026	Prah.g_00031
OG0000370	Prat.g_00027	Prah.g_00032
OG0000371	Prat.g_00034	Prah.g_00041
OG0000372	Prat.g_00036	Prah.g_00046
OG0000373	Prat.g_00037	Prah.g_00047
OG0000374	Prat.g_00038	Prah.g_00048
OG0000375	Prat.g_00042	Prah.g_00049
OG0000376	Prat.g_00044	Prah.g_00051
OG0000377	Prat.g_00048	Prah.g_02485
OG0000378	Prat.g_00052	Prah.g_02471
OG0000379	Prat.g_00055	Prah.g_02457
OG0000380	Prat.g_00062	Prah.g_01834
OG0000381	Prat.g_00067	Prah.g_01839
OG0000382	Prat.g_00079	Prah.g_01859
OG0000383	Prat.g_00081	Prah.g_01861
OG0000384	Prat.g_00082	Prah.g_01862
OG0000385	Prat.g_00083	Prah.g_01863
OG0000386	Prat.g_00084	Prah.g_01864
OG0000387	Prat.g_00096	Prah.g_01888
OG0000388	Prat.g_00100	Prah.g_01892
OG0000389	Prat.g_00103	Prah.g_01896
OG0000390	Prat.g_00112	Prah.g_00194
OG0000391	Prat.g_00115	Prah.g_00189
OG0000392	Prat.g_00118	Prah.g_00183
OG0000393	Prat.g_00122	Prah.g_00175
OG0000394	Prat.g_00123	Prah.g_00174
OG0000395	Prat.g_00124	Prah.g_00173
OG0000396	Prat.g_00126	Prah.g_02252
OG0000397	Prat.g_00128	Prah.g_02254
OG0000398	Prat.g_00131	Prah.g_02259
OG0000399	Prat.g_00132	Prah.g_02260
OG0000400	Prat.g_00133	Prah.g_02261
OG0000401	Prat.g_00134	Prah.g_02262
OG0000402	Prat.g_00601	Prah.g_02264
OG0000403	Prat.g_00136	Prah.g_02265
OG0000405	Prat.g_00141	Prah.g_02280
OG0000406	Prat.g_00146	Prah.g_02284
OG0000407	Prat.g_00147	Prah.g_02285
OG0000408	Prat.g_00149	Prah.g_02287
OG0000409	Prat.g_00151	Prah.g_02289
OG0000410	Prat.g_00152	Prah.g_02290
OG0000411	Prat.g_00153	Prah.g_02291
OG0000412	Prat.g_00154	Prah.g_02292
OG0000413	Prat.g_00156	Prah.g_02294
OG0000414	Prat.g_00157	Prah.g_02295
OG0000415	Prat.g_00158	Prah.g_02296
OG0000416	Prat.g_00159	Prah.g_02297
OG0000417	Prat.g_00160	Prah.g_02298
OG0000418	Prat.g_00165	Prah.g_02303
OG0000419	Prat.g_00167	Prah.g_02305
OG0000420	Prat.g_00169	Prah.g_02306
OG0000421	Prat.g_00174	Prah.g_02310
OG0000422	Prat.g_00175	Prah.g_02311
OG0000423	Prat.g_00176	Prah.g_02312
OG0000424	Prat.g_00177	Prah.g_02313
OG0000425	Prat.g_00178	Prah.g_02314
OG0000426	Prat.g_00179	Prah.g_02315
OG0000427	Prat.g_00180	Prah.g_02316
OG0000428	Prat.g_00182	Prah.g_00709
OG0000429	Prat.g_00183	Prah.g_02321
OG0000430	Prat.g_00184	Prah.g_02323
OG0000431	Prat.g_00186	Prah.g_02334
OG0000432	Prat.g_00190	Prah.g_02341
OG0000433	Prat.g_00191	Prah.g_02344
OG0000434	Prat.g_00192	Prah.g_02345
OG0000435	Prat.g_00193	Prah.g_02350
OG0000436	Prat.g_00198	Prah.g_02356
OG0000437	Prat.g_00199	Prah.g_02357
OG0000438	Prat.g_00200	Prah.g_02358
OG0000439	Prat.g_00202	Prah.g_02360
OG0000440	Prat.g_00203	Prah.g_02361
OG0000441	Prat.g_00206	Prah.g_02364
OG0000442	Prat.g_00207	Prah.g_02365
OG0000443	Prat.g_00208	Prah.g_02370
OG0000444	Prat.g_00213	Prah.g_02418
OG0000445	Prat.g_00214	Prah.g_02417
OG0000446	Prat.g_00215	Prah.g_02415
OG0000447	Prat.g_00216	Prah.g_02411
OG0000448	Prat.g_00217	Prah.g_02410
OG0000449	Prat.g_00218	Prah.g_02409
OG0000450	Prat.g_00219	Prah.g_02403
OG0000451	Prat.g_00220	Prah.g_02402
OG0000452	Prat.g_00223	Prah.g_02398
OG0000453	Prat.g_00224	Prah.g_02397
OG0000454	Prat.g_00225	Prah.g_02396
OG0000455	Prat.g_00226	Prah.g_02395
OG0000456	Prat.g_00227	Prah.g_02394
OG0000457	Prat.g_00229	Prah.g_02392
OG0000458	Prat.g_00230	Prah.g_02391
OG0000459	Prat.g_00231	Prah.g_02390
OG0000460	Prat.g_00240	Prah.g_01781
OG0000461	Prat.g_00249	Prah.g_02074
OG0000462	Prat.g_00250	Prah.g_02078
OG0000463	Prat.g_00251	Prah.g_02079
OG0000464	Prat.g_00252	Prah.g_02080
OG0000465	Prat.g_00253	Prah.g_02082
OG0000466	Prat.g_00256	Prah.g_02087
OG0000467	Prat.g_00257	Prah.g_02089
OG0000468	Prat.g_00260	Prah.g_02098
OG0000469	Prat.g_00269	Prah.g_02111
OG0000470	Prat.g_00271	Prah.g_02114
OG0000471	Prat.g_00272	Prah.g_02115
OG0000472	Prat.g_00273	Prah.g_02117
OG0000473	Prat.g_00275	Prah.g_02119
OG0000474	Prat.g_00276	Prah.g_02120
OG0000475	Prat.g_00277	Prah.g_02121
OG0000476	Prat.g_00279	Prah.g_02123
OG0000477	Prat.g_00282	Prah.g_02128
OG0000478	Prat.g_00283	Prah.g_02129
OG0000479	Prat.g_00284	Prah.g_02130
OG0000480	Prat.g_00290	Prah.g_02137
OG0000481	Prat.g_00292	Prah.g_02139
OG0000482	Prat.g_00293	Prah.g_02140
OG0000483	Prat.g_00296	Prah.g_02144
OG0000484	Prat.g_00297	Prah.g_02145
OG0000485	Prat.g_00298	Prah.g_02146
OG0000486	Prat.g_00299	Prah.g_02147
OG0000487	Prat.g_00303	Prah.g_02152
OG0000488	Prat.g_00306	Prah.g_02156
OG0000489	Prat.g_00311	Prah.g_02167
OG0000490	Prat.g_00315	Prah.g_02172
OG0000491	Prat.g_00316	Prah.g_02173
OG0000492	Prat.g_00318	Prah.g_02175
OG0000493	Prat.g_00319	Prah.g_02176
OG0000494	Prat.g_00320	Prah.g_02177
OG0000495	Prat.g_00321	Prah.g_02178
OG0000496	Prat.g_00322	Prah.g_02179
OG0000497	Prat.g_00323	Prah.g_02180
