Orthogroup	Prbe	Syac
OG0000492	Prbe.g_01865	Syac.g_00246
OG0000493	Prbe.g_01866	Syac.g_00245
OG0000494	Prbe.g_01867	Syac.g_00244
OG0000495	Prbe.g_01868	Syac.g_00243
OG0000496	Prbe.g_01869	Syac.g_00242
OG0000497	Prbe.g_01870	Syac.g_00241
OG0000498	Prbe.g_01871	Syac.g_00240
OG0000499	Prbe.g_01872	Syac.g_00239
OG0000500	Prbe.g_01873	Syac.g_00238
OG0000501	Prbe.g_01874	Syac.g_00235
OG0000502	Prbe.g_01877	Syac.g_00223
OG0000503	Prbe.g_01892	Syac.g_02020
OG0000504	Prbe.g_01894	Syac.g_02018
OG0000505	Prbe.g_01895	Syac.g_02017
OG0000506	Prbe.g_01896	Syac.g_02015
OG0000507	Prbe.g_01899	Syac.g_02009
OG0000508	Prbe.g_01903	Syac.g_02005
OG0000509	Prbe.g_01905	Syac.g_02003
OG0000510	Prbe.g_01906	Syac.g_02002
OG0000511	Prbe.g_01907	Syac.g_02001
OG0000512	Prbe.g_01909	Syac.g_01999
OG0000513	Prbe.g_01918	Syac.g_01984
OG0000514	Prbe.g_01929	Syac.g_01977
OG0000515	Prbe.g_01930	Syac.g_01976
OG0000516	Prbe.g_01931	Syac.g_00697
OG0000517	Prbe.g_01933	Syac.g_00691
OG0000518	Prbe.g_01944	Syac.g_00707
OG0000519	Prbe.g_01945	Syac.g_00708
OG0000520	Prbe.g_01946	Syac.g_00709
OG0000521	Prbe.g_00676	Syac.g_01721
OG0000522	Prbe.g_00674	Syac.g_01719
OG0000523	Prbe.g_00673	Syac.g_01718
OG0000524	Prbe.g_00668	Syac.g_01716
OG0000525	Prbe.g_00664	Syac.g_01709
OG0000526	Prbe.g_00663	Syac.g_01706
OG0000527	Prbe.g_00660	Syac.g_01702
OG0000528	Prbe.g_00655	Syac.g_01911
OG0000529	Prbe.g_00652	Syac.g_01903
OG0000530	Prbe.g_00649	Syac.g_01900
OG0000531	Prbe.g_00648	Syac.g_01899
OG0000532	Prbe.g_00646	Syac.g_01896
OG0000533	Prbe.g_00645	Syac.g_01895
OG0000534	Prbe.g_00644	Syac.g_01894
OG0000535	Prbe.g_00643	Syac.g_01893
OG0000536	Prbe.g_00642	Syac.g_01892
OG0000537	Prbe.g_00641	Syac.g_01891
OG0000538	Prbe.g_00632	Syac.g_01880
OG0000539	Prbe.g_00631	Syac.g_01879
OG0000540	Prbe.g_00630	Syac.g_01878
OG0000541	Prbe.g_00629	Syac.g_01877
OG0000542	Prbe.g_00628	Syac.g_01874
OG0000543	Prbe.g_00626	Syac.g_01872
OG0000544	Prbe.g_00625	Syac.g_01871
OG0000545	Prbe.g_00623	Syac.g_01869
OG0000546	Prbe.g_00620	Syac.g_01867
OG0000547	Prbe.g_00618	Syac.g_01865
OG0000548	Prbe.g_00617	Syac.g_01864
OG0000549	Prbe.g_00615	Syac.g_01858
OG0000550	Prbe.g_00611	Syac.g_01854
OG0000551	Prbe.g_00608	Syac.g_01849
OG0000552	Prbe.g_00607	Syac.g_01848
OG0000553	Prbe.g_00606	Syac.g_01846
OG0000554	Prbe.g_00601	Syac.g_01835
OG0000555	Prbe.g_00593	Syac.g_01822
OG0000556	Prbe.g_00591	Syac.g_01817
OG0000557	Prbe.g_00590	Syac.g_01815
OG0000558	Prbe.g_00588	Syac.g_01813
