Orthogroup	Prbe	Syaf
OG0000401	Prbe.g_01679	Syaf.g_00855
OG0000402	Prbe.g_01412	Syaf.g_00852
OG0000403	Prbe.g_01681	Syaf.g_00851
OG0000404	Prbe.g_01682	Syaf.g_00850
OG0000405	Prbe.g_01686	Syaf.g_00835
OG0000406	Prbe.g_01694	Syaf.g_00831
OG0000407	Prbe.g_01695	Syaf.g_00830
OG0000408	Prbe.g_01697	Syaf.g_00828
OG0000409	Prbe.g_01699	Syaf.g_00826
OG0000410	Prbe.g_01700	Syaf.g_00825
OG0000411	Prbe.g_01701	Syaf.g_00824
OG0000412	Prbe.g_01702	Syaf.g_00823
OG0000413	Prbe.g_01704	Syaf.g_00821
OG0000414	Prbe.g_01705	Syaf.g_00820
OG0000415	Prbe.g_01706	Syaf.g_00819
OG0000416	Prbe.g_01707	Syaf.g_00818
OG0000417	Prbe.g_01708	Syaf.g_00817
OG0000418	Prbe.g_01713	Syaf.g_00812
OG0000419	Prbe.g_01715	Syaf.g_00810
OG0000420	Prbe.g_01716	Syaf.g_00808
OG0000421	Prbe.g_01721	Syaf.g_00803
OG0000422	Prbe.g_01722	Syaf.g_00802
OG0000423	Prbe.g_01723	Syaf.g_00801
OG0000424	Prbe.g_01724	Syaf.g_00800
OG0000425	Prbe.g_01725	Syaf.g_00799
OG0000426	Prbe.g_01726	Syaf.g_00798
OG0000427	Prbe.g_01727	Syaf.g_00797
OG0000428	Prbe.g_01729	Syaf.g_00794
OG0000429	Prbe.g_01730	Syaf.g_00792
OG0000430	Prbe.g_01731	Syaf.g_00790
OG0000431	Prbe.g_01733	Syaf.g_00786
OG0000432	Prbe.g_01737	Syaf.g_00779
OG0000433	Prbe.g_01738	Syaf.g_00777
OG0000434	Prbe.g_01739	Syaf.g_00776
OG0000435	Prbe.g_01740	Syaf.g_00772
OG0000436	Prbe.g_01745	Syaf.g_00767
OG0000437	Prbe.g_01746	Syaf.g_00766
OG0000438	Prbe.g_01747	Syaf.g_00765
OG0000439	Prbe.g_01749	Syaf.g_00763
OG0000440	Prbe.g_01750	Syaf.g_00762
OG0000441	Prbe.g_01753	Syaf.g_00756
OG0000442	Prbe.g_01754	Syaf.g_00743
OG0000443	Prbe.g_01755	Syaf.g_00739
OG0000444	Prbe.g_01761	Syaf.g_00733
OG0000445	Prbe.g_01762	Syaf.g_00729
OG0000446	Prbe.g_01763	Syaf.g_00728
OG0000447	Prbe.g_01764	Syaf.g_00725
OG0000448	Prbe.g_01765	Syaf.g_00724
OG0000449	Prbe.g_01766	Syaf.g_00723
OG0000450	Prbe.g_01767	Syaf.g_00717
OG0000451	Prbe.g_01768	Syaf.g_00716
OG0000452	Prbe.g_01771	Syaf.g_00712
OG0000453	Prbe.g_01772	Syaf.g_00711
OG0000454	Prbe.g_01773	Syaf.g_00710
OG0000455	Prbe.g_01774	Syaf.g_00709
OG0000456	Prbe.g_01775	Syaf.g_00708
OG0000457	Prbe.g_01777	Syaf.g_00706
OG0000458	Prbe.g_01778	Syaf.g_00705
OG0000459	Prbe.g_01779	Syaf.g_00704
OG0000460	Prbe.g_01787	Syaf.g_02789
OG0000461	Prbe.g_01795	Syaf.g_00183
OG0000462	Prbe.g_01797	Syaf.g_00186
OG0000463	Prbe.g_01798	Syaf.g_00187
OG0000464	Prbe.g_01799	Syaf.g_00188
OG0000465	Prbe.g_01800	Syaf.g_00190
OG0000466	Prbe.g_01803	Syaf.g_00194
OG0000467	Prbe.g_01804	Syaf.g_00196
OG0000468	Prbe.g_01807	Syaf.g_00206
OG0000469	Prbe.g_01815	Syaf.g_00220
OG0000470	Prbe.g_01817	Syaf.g_00222
OG0000471	Prbe.g_01818	Syaf.g_00223
OG0000472	Prbe.g_01820	Syaf.g_00225
OG0000473	Prbe.g_01822	Syaf.g_00227
OG0000474	Prbe.g_01823	Syaf.g_00228
OG0000475	Prbe.g_01824	Syaf.g_00229
OG0000476	Prbe.g_01826	Syaf.g_00231
OG0000477	Prbe.g_01829	Syaf.g_00237
OG0000478	Prbe.g_01830	Syaf.g_00238
OG0000479	Prbe.g_01831	Syaf.g_00239
