Orthogroup	Prar	Prab
OG0000449	Prar.g_00111	Prab.g_00207
OG0000450	Prar.g_00110	Prab.g_00208
OG0000451	Prar.g_00109	Prab.g_00209
OG0000452	Prar.g_00106	Prab.g_00212
OG0000453	Prar.g_00105	Prab.g_00213
OG0000454	Prar.g_00104	Prab.g_00214
OG0000455	Prar.g_00103	Prab.g_00215
OG0000456	Prar.g_00102	Prab.g_00216
OG0000457	Prar.g_00101	Prab.g_00217
OG0000458	Prar.g_00100	Prab.g_00218
OG0000459	Prar.g_00099	Prab.g_00219
OG0000460	Prar.g_00092	Prab.g_00226
OG0000461	Prar.g_00085	Prab.g_00232
OG0000462	Prar.g_00083	Prab.g_00234
OG0000463	Prar.g_00082	Prab.g_00235
OG0000464	Prar.g_00081	Prab.g_00236
OG0000465	Prar.g_00080	Prab.g_00237
OG0000466	Prar.g_00077	Prab.g_00240
OG0000467	Prar.g_00076	Prab.g_00241
OG0000468	Prar.g_00334	Prab.g_00243
OG0000469	Prar.g_00325	Prab.g_00251
OG0000470	Prar.g_00323	Prab.g_00253
OG0000471	Prar.g_00322	Prab.g_00254
OG0000472	Prar.g_00321	Prab.g_00255
OG0000473	Prar.g_00319	Prab.g_00257
OG0000474	Prar.g_00318	Prab.g_00258
OG0000475	Prar.g_00317	Prab.g_00259
OG0000476	Prar.g_00316	Prab.g_00260
OG0000477	Prar.g_00312	Prab.g_00263
OG0000478	Prar.g_00311	Prab.g_00264
OG0000479	Prar.g_00310	Prab.g_00265
OG0000480	Prar.g_00305	Prab.g_00270
OG0000481	Prar.g_00303	Prab.g_00272
OG0000482	Prar.g_00302	Prab.g_00273
OG0000483	Prar.g_00299	Prab.g_00276
OG0000484	Prar.g_00298	Prab.g_00277
OG0000485	Prar.g_00297	Prab.g_00278
OG0000486	Prar.g_00296	Prab.g_00279
OG0000487	Prar.g_00292	Prab.g_00283
OG0000488	Prar.g_00289	Prab.g_00286
OG0000489	Prar.g_00284	Prab.g_00291
OG0000490	Prar.g_00279	Prab.g_00296
OG0000491	Prar.g_00278	Prab.g_00297
OG0000492	Prar.g_00276	Prab.g_00299
OG0000493	Prar.g_00275	Prab.g_00300
OG0000494	Prar.g_00274	Prab.g_00301
OG0000495	Prar.g_00273	Prab.g_00302
OG0000496	Prar.g_00272	Prab.g_00303
OG0000497	Prar.g_00271	Prab.g_00304
OG0000498	Prar.g_00270	Prab.g_00305
OG0000499	Prar.g_00269	Prab.g_00306
OG0000500	Prar.g_00268	Prab.g_00307
OG0000501	Prar.g_00266	Prab.g_00309
OG0000502	Prar.g_00263	Prab.g_00312
OG0000503	Prar.g_00394	Prab.g_00322
OG0000504	Prar.g_00395	Prab.g_00323
OG0000505	Prar.g_00396	Prab.g_00324
OG0000506	Prar.g_00398	Prab.g_00325
OG0000507	Prar.g_00401	Prab.g_00328
OG0000508	Prar.g_00405	Prab.g_00332
OG0000509	Prar.g_00407	Prab.g_00334
OG0000510	Prar.g_00408	Prab.g_00335
OG0000511	Prar.g_00409	Prab.g_00336
OG0000512	Prar.g_00411	Prab.g_00338
OG0000513	Prar.g_00418	Prab.g_00345
OG0000514	Prar.g_00479	Prab.g_00434
OG0000515	Prar.g_00480	Prab.g_00435
OG0000516	Prar.g_00481	Prab.g_00436
OG0000517	Prar.g_00483	Prab.g_00438
OG0000518	Prar.g_00494	Prab.g_00449
OG0000519	Prar.g_00495	Prab.g_00450
OG0000520	Prar.g_00496	Prab.g_00454
OG0000521	Prar.g_00501	Prab.g_00459
OG0000522	Prar.g_00503	Prab.g_00460
OG0000523	Prar.g_00504	Prab.g_00461
OG0000524	Prar.g_00510	Prab.g_00466
OG0000525	Prar.g_00513	Prab.g_00469
OG0000526	Prar.g_00514	Prab.g_00470
OG0000527	Prar.g_00523	Prab.g_00477
OG0000528	Prar.g_00528	Prab.g_00482
OG0000529	Prar.g_00531	Prab.g_00485
OG0000530	Prar.g_00534	Prab.g_00488
OG0000531	Prar.g_00535	Prab.g_00489
OG0000532	Prar.g_00537	Prab.g_00491
OG0000533	Prar.g_00538	Prab.g_00492
OG0000534	Prar.g_00539	Prab.g_00493
OG0000535	Prar.g_00540	Prab.g_00494
OG0000536	Prar.g_00541	Prab.g_00495
OG0000537	Prar.g_00542	Prab.g_00496
OG0000538	Prar.g_01331	Prab.g_00504
OG0000539	Prar.g_01332	Prab.g_00505
OG0000540	Prar.g_01333	Prab.g_00506
OG0000541	Prar.g_01334	Prab.g_00507
OG0000542	Prar.g_01336	Prab.g_00509
OG0000543	Prar.g_01338	Prab.g_00511
OG0000544	Prar.g_01339	Prab.g_00512
OG0000545	Prar.g_01341	Prab.g_00514
OG0000546	Prar.g_01344	Prab.g_00517
OG0000547	Prar.g_01345	Prab.g_00519
OG0000548	Prar.g_01346	Prab.g_00520
OG0000549	Prar.g_01348	Prab.g_00522
OG0000550	Prar.g_01353	Prab.g_00527
OG0000551	Prar.g_01357	Prab.g_00531
OG0000552	Prar.g_01358	Prab.g_00532
OG0000553	Prar.g_01359	Prab.g_00533
OG0000554	Prar.g_01364	Prab.g_00538
OG0000555	Prar.g_01372	Prab.g_00546
OG0000556	Prar.g_01374	Prab.g_00548
