Orthogroup	Prar	Syaf
OG0000205	Prar.g_00125	Syaf.g_00761
OG0000206	Prar.g_00120	Syaf.g_00736
OG0000207	Prar.g_00118	Syaf.g_00735
OG0000208	Prar.g_00117	Syaf.g_00734
OG0000209	Prar.g_00108	Syaf.g_00714
OG0000210	Prar.g_00107	Syaf.g_00713
OG0000212	Prar.g_00087	Syaf.g_02781
OG0000213	Prar.g_00330	Syaf.g_00210
OG0000214	Prar.g_00320	Syaf.g_00226
OG0000215	Prar.g_00295	Syaf.g_00258
OG0000216	Prar.g_00293	Syaf.g_00262
OG0000217	Prar.g_01154, Prar.g_00290	Syaf.g_00266
OG0000218	Prar.g_00288	Syaf.g_00268
OG0000219	Prar.g_00287	Syaf.g_00269
OG0000220	Prar.g_00286	Syaf.g_00270
OG0000221	Prar.g_00285	Syaf.g_02597, Syaf.g_00273
OG0000222	Prar.g_00277	Syaf.g_00287
OG0000223	Prar.g_00264	Syaf.g_00317
OG0000224	Prar.g_00262	Syaf.g_00324
OG0000225	Prar.g_00406	Syaf.g_00007
OG0000226	Prar.g_00410	Syaf.g_00003
OG0000227	Prar.g_00412	Syaf.g_00001
OG0000228	Prar.g_00415	Syaf.g_02808
OG0000229	Prar.g_00484	Syaf.g_01214
OG0000230	Prar.g_00486	Syaf.g_01216
OG0000231	Prar.g_00497	Syaf.g_01236
OG0000232	Prar.g_00506	Syaf.g_02536
OG0000233	Prar.g_00512	Syaf.g_02528
OG0000234	Prar.g_00526	Syaf.g_02497
OG0000235	Prar.g_00529	Syaf.g_02722
OG0000236	Prar.g_00543	Syaf.g_02707
OG0000237	Prar.g_01337	Syaf.g_02690
OG0000238	Prar.g_01343	Syaf.g_02685
OG0000239	Prar.g_01355	Syaf.g_02669
OG0000240	Prar.g_01356	Syaf.g_02668
OG0000241	Prar.g_01360	Syaf.g_02322
OG0000242	Prar.g_01362	Syaf.g_02656
OG0000243	Prar.g_01373	Syaf.g_02634
OG0000244	Prar.g_01376	Syaf.g_02627
OG0000245	Prar.g_01378	Syaf.g_02625
OG0000246	Prar.g_01382	Syaf.g_02621
OG0000247	Prar.g_01392	Syaf.g_02610
OG0000248	Prar.g_01394	Syaf.g_02607
OG0000249	Prar.g_01396	Syaf.g_02605
OG0000250	Prar.g_01401	Syaf.g_02593
OG0000251	Prar.g_01420	Syaf.g_02568
OG0000252	Prar.g_01424	Syaf.g_02565
OG0000253	Prar.g_01425	Syaf.g_02564
OG0000254	Prar.g_01441	Syaf.g_02371
OG0000255	Prar.g_01447	Syaf.g_02352
OG0000256	Prar.g_01457	Syaf.g_02329
OG0000257	Prar.g_01460	Syaf.g_02323
OG0000258	Prar.g_01473	Syaf.g_02301
OG0000259	Prar.g_01490	Syaf.g_02137
OG0000260	Prar.g_01493	Syaf.g_02134
OG0000261	Prar.g_01495	Syaf.g_02131
OG0000262	Prar.g_01499	Syaf.g_02126
OG0000263	Prar.g_01511	Syaf.g_01585
OG0000264	Prar.g_01521	Syaf.g_01473
OG0000265	Prar.g_01599	Syaf.g_01196
OG0000266	Prar.g_01609	Syaf.g_01967
OG0000267	Prar.g_01620	Syaf.g_01787
OG0000268	Prar.g_01621	Syaf.g_01788
OG0000269	Prar.g_01679	Syaf.g_02054
OG0000270	Prar.g_01682	Syaf.g_02051
OG0000271	Prar.g_01690	Syaf.g_02043
OG0000272	Prar.g_01691	Syaf.g_02042
OG0000273	Prar.g_01714	Syaf.g_01392
OG0000274	Prar.g_01715	Syaf.g_01391
OG0000275	Prar.g_01717	Syaf.g_01386
OG0000276	Prar.g_01722	Syaf.g_01379
OG0000277	Prar.g_01723	Syaf.g_01378
OG0000278	Prar.g_01726	Syaf.g_01375
