Orthogroup	Prar	Syan
OG0000339	Prar.g_00630	Syan.g_01935, Syan.g_00264
OG0000340	Prar.g_00638	Syan.g_01923
OG0000341	Prar.g_00640	Syan.g_01921
OG0000342	Prar.g_00641	Syan.g_01920
OG0000343	Prar.g_00642	Syan.g_01918
OG0000344	Prar.g_00645	Syan.g_01914
OG0000345	Prar.g_00650	Syan.g_01900
OG0000346	Prar.g_00654	Syan.g_01895
OG0000347	Prar.g_00669	Syan.g_01867
OG0000348	Prar.g_00678	Syan.g_01803
OG0000349	Prar.g_00695	Syan.g_01727
OG0000350	Prar.g_00072	Syan.g_02121
OG0000351	Prar.g_00055	Syan.g_01682
OG0000352	Prar.g_00054	Syan.g_01683
OG0000353	Prar.g_00039	Syan.g_01795
OG0000355	Prar.g_00037	Syan.g_01797
OG0000356	Prar.g_00036	Syan.g_01798
OG0000357	Prar.g_00035	Syan.g_01800
OG0000358	Prar.g_00031	Syan.g_01773
OG0000359	Prar.g_00030	Syan.g_01771
OG0000360	Prar.g_00029	Syan.g_01770
OG0000361	Prar.g_00028	Syan.g_01769
OG0000362	Prar.g_00026	Syan.g_01767
OG0000363	Prar.g_00024	Syan.g_01765
OG0000364	Prar.g_00023	Syan.g_01398
OG0000365	Prar.g_00018	Syan.g_01755
OG0000366	Prar.g_00017	Syan.g_01754
OG0000367	Prar.g_00016	Syan.g_01753
OG0000368	Prar.g_00014	Syan.g_01751
OG0000369	Prar.g_00013	Syan.g_01750
OG0000370	Prar.g_00012	Syan.g_01749
OG0000371	Prar.g_00006	Syan.g_01740
OG0000372	Prar.g_00002	Syan.g_01734
OG0000373	Prar.g_00001	Syan.g_01733
OG0000374	Prar.g_00594	Syan.g_01732
OG0000375	Prar.g_00580	Syan.g_01731
OG0000376	Prar.g_00578	Syan.g_01729
OG0000377	Prar.g_00574	Syan.g_01555
OG0000378	Prar.g_00572	Syan.g_01543
OG0000379	Prar.g_00569	Syan.g_01539
OG0000380	Prar.g_00552	Syan.g_02905
OG0000381	Prar.g_00548	Syan.g_02908
OG0000382	Prar.g_00247	Syan.g_02925
OG0000383	Prar.g_00245	Syan.g_02936
OG0000384	Prar.g_00244	Syan.g_02937
OG0000385	Prar.g_00243	Syan.g_02938
OG0000386	Prar.g_00242	Syan.g_02939
OG0000387	Prar.g_00229	Syan.g_00967
OG0000388	Prar.g_00226	Syan.g_02970
OG0000389	Prar.g_00222	Syan.g_02973
OG0000390	Prar.g_00215	Syan.g_02306
OG0000391	Prar.g_00212	Syan.g_02301
OG0000392	Prar.g_00208	Syan.g_02295
OG0000393	Prar.g_00206	Syan.g_02292
OG0000394	Prar.g_00205	Syan.g_02291
OG0000395	Prar.g_00204	Syan.g_02290
OG0000396	Prar.g_00201	Syan.g_02287
OG0000397	Prar.g_00199	Syan.g_02285
OG0000398	Prar.g_00197	Syan.g_02279
OG0000399	Prar.g_00196	Syan.g_02278
OG0000400	Prar.g_00195	Syan.g_02277
OG0000401	Prar.g_00194	Syan.g_02274
OG0000402	Prar.g_00192	Syan.g_02272
OG0000403	Prar.g_00191	Syan.g_02271
OG0000404	Prar.g_00190	Syan.g_02269
OG0000405	Prar.g_00186	Syan.g_03005
OG0000406	Prar.g_00180	Syan.g_03010
OG0000407	Prar.g_00179	Syan.g_03011
OG0000408	Prar.g_00177	Syan.g_03013
OG0000409	Prar.g_00175	Syan.g_03015
OG0000410	Prar.g_00174	Syan.g_03016
OG0000411	Prar.g_00173	Syan.g_03017
OG0000412	Prar.g_00172	Syan.g_03018
OG0000413	Prar.g_00171	Syan.g_03020
OG0000414	Prar.g_01569, Prar.g_00170	Syan.g_03021
OG0000415	Prar.g_00169	Syan.g_03022
OG0000416	Prar.g_00168	Syan.g_03023
OG0000417	Prar.g_00167	Syan.g_03025
OG0000418	Prar.g_00162	Syan.g_03030
OG0000419	Prar.g_00160	Syan.g_03033
OG0000420	Prar.g_00159	Syan.g_03035
OG0000421	Prar.g_00154	Syan.g_03040
OG0000422	Prar.g_00153	Syan.g_03041
OG0000423	Prar.g_00152	Syan.g_03042
OG0000424	Prar.g_00151	Syan.g_03043
OG0000425	Prar.g_00150	Syan.g_03044
OG0000426	Prar.g_00149	Syan.g_03045
OG0000427	Prar.g_00148	Syan.g_03046
OG0000428	Prar.g_00146	Syan.g_03049
OG0000429	Prar.g_00145	Syan.g_03051
OG0000430	Prar.g_00144	Syan.g_03053
OG0000431	Prar.g_00142	Syan.g_03058
OG0000432	Prar.g_00139	Syan.g_03065
OG0000433	Prar.g_00138	Syan.g_03068
OG0000434	Prar.g_00137	Syan.g_03069
OG0000435	Prar.g_00136	Syan.g_03071
OG0000436	Prar.g_00131	Syan.g_03079
OG0000437	Prar.g_00130	Syan.g_03080
OG0000438	Prar.g_00129	Syan.g_03083
OG0000439	Prar.g_00127	Syan.g_03085
OG0000440	Prar.g_00126	Syan.g_03086
OG0000441	Prar.g_00123	Syan.g_03089
OG0000442	Prar.g_00122	Syan.g_03090
OG0000443	Prar.g_00121	Syan.g_03094
OG0000444	Prar.g_00116	Syan.g_03102
OG0000445	Prar.g_00115	Syan.g_03103
OG0000446	Prar.g_00114	Syan.g_03105
OG0000447	Prar.g_00113	Syan.g_03111
OG0000448	Prar.g_00112	Syan.g_03112
OG0000449	Prar.g_00111	Syan.g_03113
OG0000450	Prar.g_00110	Syan.g_01518
OG0000451	Prar.g_00109	Syan.g_01519
OG0000452	Prar.g_00106	Syan.g_01523
OG0000453	Prar.g_00105	Syan.g_01524
OG0000454	Prar.g_00104	Syan.g_01525
OG0000455	Prar.g_00103	Syan.g_01526
OG0000456	Prar.g_00102	Syan.g_01527
OG0000457	Prar.g_00101	Syan.g_01529
OG0000458	Prar.g_00100	Syan.g_01530
OG0000459	Prar.g_00099	Syan.g_01531
OG0000460	Prar.g_00092	Syan.g_02423
OG0000461	Prar.g_00085	Syan.g_02099
OG0000462	Prar.g_00083	Syan.g_02096
OG0000463	Prar.g_00082	Syan.g_02095
OG0000464	Prar.g_00081	Syan.g_02094
OG0000465	Prar.g_00080	Syan.g_02092
OG0000466	Prar.g_00077	Syan.g_02087
OG0000467	Prar.g_00076	Syan.g_02086
OG0000468	Prar.g_00334	Syan.g_02063
OG0000469	Prar.g_00325	Syan.g_02046
OG0000470	Prar.g_00323	Syan.g_02044
OG0000471	Prar.g_00322	Syan.g_02043
OG0000472	Prar.g_00321	Syan.g_02041
OG0000473	Prar.g_00319	Syan.g_02039
OG0000474	Prar.g_00318	Syan.g_02038
OG0000475	Prar.g_00317	Syan.g_02037
OG0000476	Prar.g_00316	Syan.g_02035
OG0000477	Prar.g_00312	Syan.g_02029
OG0000478	Prar.g_00311	Syan.g_02028
OG0000479	Prar.g_00310	Syan.g_02027
OG0000480	Prar.g_00305	Syan.g_02020
OG0000481	Prar.g_00303	Syan.g_00975
OG0000482	Prar.g_00302	Syan.g_02018
OG0000483	Prar.g_00299	Syan.g_02014
OG0000484	Prar.g_00298	Syan.g_02013
OG0000485	Prar.g_00297	Syan.g_02012
OG0000486	Prar.g_00296	Syan.g_02011
OG0000487	Prar.g_00292	Syan.g_02005
OG0000488	Prar.g_00289	Syan.g_02000
OG0000489	Prar.g_00284	Syan.g_01993
OG0000490	Prar.g_00279	Syan.g_01985
OG0000491	Prar.g_00278	Syan.g_01983
OG0000492	Prar.g_00276	Syan.g_01980
OG0000493	Prar.g_00275	Syan.g_01979
OG0000494	Prar.g_00274	Syan.g_01978
OG0000495	Prar.g_00273	Syan.g_01977
OG0000496	Prar.g_00272	Syan.g_01976
OG0000497	Prar.g_00271	Syan.g_01975
OG0000498	Prar.g_00270	Syan.g_01974
OG0000499	Prar.g_00269	Syan.g_01973
OG0000500	Prar.g_00268	Syan.g_01972
OG0000501	Prar.g_00266	Syan.g_01969
OG0000502	Prar.g_00263	Syan.g_01961
OG0000503	Prar.g_00394	Syan.g_02144
OG0000504	Prar.g_00395	Syan.g_02142
OG0000505	Prar.g_00396	Syan.g_02141
OG0000506	Prar.g_00398	Syan.g_02139
OG0000507	Prar.g_00401	Syan.g_02133
OG0000508	Prar.g_00405	Syan.g_02998
OG0000509	Prar.g_00407	Syan.g_02993
OG0000510	Prar.g_00408	Syan.g_02992
OG0000511	Prar.g_00409	Syan.g_02991
OG0000512	Prar.g_00411	Syan.g_02989
OG0000513	Prar.g_00418	Syan.g_02320
OG0000514	Prar.g_00479	Syan.g_02326
OG0000515	Prar.g_00480	Syan.g_02327
OG0000516	Prar.g_00481	Syan.g_02389
OG0000517	Prar.g_00483	Syan.g_02395
OG0000518	Prar.g_00494	Syan.g_01336
OG0000519	Prar.g_00495	Syan.g_01335
OG0000520	Prar.g_00496	Syan.g_01334
OG0000521	Prar.g_00501	Syan.g_02805
OG0000522	Prar.g_00503	Syan.g_02803
OG0000523	Prar.g_00504	Syan.g_02802
OG0000524	Prar.g_00510	Syan.g_02878
OG0000525	Prar.g_00513	Syan.g_02853
OG0000526	Prar.g_00514	Syan.g_02852
OG0000527	Prar.g_00523	Syan.g_02848
OG0000528	Prar.g_00528	Syan.g_02767
OG0000529	Prar.g_00531	Syan.g_02763
OG0000530	Prar.g_00534	Syan.g_02760
OG0000531	Prar.g_00535	Syan.g_02759
OG0000532	Prar.g_00537	Syan.g_02756
OG0000533	Prar.g_00538	Syan.g_02754
OG0000534	Prar.g_00539	Syan.g_02753
OG0000535	Prar.g_00540	Syan.g_02752
