Orthogroup	Pram	Pran
OG0000279	Pram.g_00154	Pran.g_00263
OG0000280	Pram.g_00156	Pran.g_00261
OG0000281	Pram.g_00157	Pran.g_00259
OG0000282	Pram.g_00158	Pran.g_00258
OG0000283	Pram.g_00159	Pran.g_00257
OG0000284	Pram.g_00160	Pran.g_00256
OG0000285	Pram.g_00161	Pran.g_00255
OG0000286	Pram.g_00162	Pran.g_00254
OG0000287	Pram.g_00163	Pran.g_00253
OG0000288	Pram.g_00165	Pran.g_00251
OG0000289	Pram.g_00166	Pran.g_00250
OG0000290	Pram.g_00167	Pran.g_00249
OG0000291	Pram.g_00169	Pran.g_00247
OG0000292	Pram.g_00171	Pran.g_00246
OG0000293	Pram.g_00172	Pran.g_00245
OG0000294	Pram.g_00173	Pran.g_00244
OG0000295	Pram.g_00174	Pran.g_00243
OG0000296	Pram.g_00175	Pran.g_00242
OG0000297	Pram.g_00176	Pran.g_00241
OG0000298	Pram.g_00178	Pran.g_00239
OG0000299	Pram.g_00179	Pran.g_00238
OG0000300	Pram.g_00180	Pran.g_00237
OG0000301	Pram.g_00181	Pran.g_00236
OG0000302	Pram.g_00182	Pran.g_00235
OG0000303	Pram.g_00183	Pran.g_00234
OG0000304	Pram.g_00185	Pran.g_00232
OG0000305	Pram.g_00186	Pran.g_00231
OG0000306	Pram.g_00189	Pran.g_00228
OG0000307	Pram.g_00190	Pran.g_00227
OG0000308	Pram.g_00191	Pran.g_00226
OG0000309	Pram.g_00192	Pran.g_00225
OG0000310	Pram.g_00193	Pran.g_00224
OG0000311	Pram.g_00194	Pran.g_00223
OG0000312	Pram.g_00195	Pran.g_00222
OG0000313	Pram.g_00196	Pran.g_00221
OG0000314	Pram.g_00197	Pran.g_00220
OG0000315	Pram.g_00198	Pran.g_00219
OG0000316	Pram.g_00199	Pran.g_00218
OG0000317	Pram.g_00200	Pran.g_00217
OG0000318	Pram.g_00201	Pran.g_00216
OG0000319	Pram.g_00202	Pran.g_00215
OG0000320	Pram.g_00203	Pran.g_00214
OG0000321	Pram.g_00204	Pran.g_00213
OG0000322	Pram.g_00205	Pran.g_00212
OG0000323	Pram.g_00206	Pran.g_00211
OG0000324	Pram.g_00207	Pran.g_00210
OG0000325	Pram.g_00208	Pran.g_00209
OG0000326	Pram.g_00209	Pran.g_00208
OG0000327	Pram.g_00210	Pran.g_00207
OG0000328	Pram.g_00212	Pran.g_00206
OG0000329	Pram.g_00213	Pran.g_00205
OG0000330	Pram.g_00214	Pran.g_00204
OG0000331	Pram.g_00216	Pran.g_00203
OG0000332	Pram.g_00217	Pran.g_00202
OG0000333	Pram.g_00218	Pran.g_00201
OG0000334	Pram.g_00219	Pran.g_00200
OG0000335	Pram.g_00220	Pran.g_00199
OG0000336	Pram.g_00222	Pran.g_00197
OG0000337	Pram.g_00223	Pran.g_00196
OG0000338	Pram.g_00228	Pran.g_00193
OG0000339	Pram.g_00230	Pran.g_01950
OG0000340	Pram.g_00232	Pran.g_01948
OG0000341	Pram.g_00233	Pran.g_01947
OG0000342	Pram.g_00234	Pran.g_01946
OG0000343	Pram.g_00235	Pran.g_01945
OG0000344	Pram.g_00238	Pran.g_01942
OG0000345	Pram.g_00242	Pran.g_01939
OG0000346	Pram.g_00243	Pran.g_01938
OG0000347	Pram.g_00246	Pran.g_01935
OG0000348	Pram.g_00247	Pran.g_01934
OG0000349	Pram.g_00248	Pran.g_01933
OG0000350	Pram.g_00250	Pran.g_01931
OG0000351	Pram.g_00251	Pran.g_01930
OG0000352	Pram.g_00252	Pran.g_01929
OG0000353	Pram.g_00253	Pran.g_01928
OG0000354	Pram.g_00254	Pran.g_01927
OG0000355	Pram.g_00255	Pran.g_01926
OG0000356	Pram.g_00256	Pran.g_01925
OG0000357	Pram.g_00257	Pran.g_01924
OG0000358	Pram.g_00258	Pran.g_01923
OG0000359	Pram.g_00260	Pran.g_01922
OG0000360	Pram.g_00263	Pran.g_01919
OG0000361	Pram.g_00264	Pran.g_01918
OG0000362	Pram.g_00265	Pran.g_01917
OG0000363	Pram.g_00266	Pran.g_01916
OG0000364	Pram.g_00270	Pran.g_01912
OG0000365	Pram.g_00271	Pran.g_01911
OG0000366	Pram.g_00274	Pran.g_01909
OG0000367	Pram.g_00275	Pran.g_01908
OG0000368	Pram.g_00276	Pran.g_01907
OG0000369	Pram.g_00277	Pran.g_01906
OG0000370	Pram.g_00278	Pran.g_01905
OG0000371	Pram.g_00280	Pran.g_01904
OG0000372	Pram.g_00281	Pran.g_01903
OG0000373	Pram.g_00282	Pran.g_01902
OG0000374	Pram.g_00283	Pran.g_01900
OG0000375	Pram.g_00284	Pran.g_01899
OG0000376	Pram.g_00287	Pran.g_01896
OG0000377	Pram.g_00288	Pran.g_01895
OG0000378	Pram.g_00289	Pran.g_01894
OG0000379	Pram.g_00290	Pran.g_01893
OG0000380	Pram.g_00291	Pran.g_01892
OG0000381	Pram.g_00292	Pran.g_01891
OG0000382	Pram.g_00293	Pran.g_01890
OG0000383	Pram.g_00294	Pran.g_01889
OG0000384	Pram.g_00296	Pran.g_01886
OG0000385	Pram.g_00297	Pran.g_01885
OG0000386	Pram.g_00298	Pran.g_01884
OG0000387	Pram.g_00299	Pran.g_01883
OG0000388	Pram.g_00300	Pran.g_01882
OG0000389	Pram.g_00301	Pran.g_01881
OG0000390	Pram.g_00302	Pran.g_01880
OG0000391	Pram.g_00303	Pran.g_01879
OG0000392	Pram.g_00304	Pran.g_01878
OG0000393	Pram.g_00305	Pran.g_01877
OG0000394	Pram.g_00306	Pran.g_01876
OG0000395	Pram.g_00307	Pran.g_01875
OG0000396	Pram.g_00309	Pran.g_01873
OG0000397	Pram.g_00311	Pran.g_01871
OG0000398	Pram.g_00312	Pran.g_01870
OG0000399	Pram.g_00315	Pran.g_01867
OG0000400	Pram.g_00321	Pran.g_01866
OG0000401	Pram.g_00322	Pran.g_01865
OG0000402	Pram.g_00328	Pran.g_01860
OG0000403	Pram.g_00330	Pran.g_01859
OG0000404	Pram.g_00331	Pran.g_01858
OG0000405	Pram.g_00332	Pran.g_01857
OG0000406	Pram.g_00336	Pran.g_01854
OG0000407	Pram.g_00337	Pran.g_01853
OG0000408	Pram.g_00340	Pran.g_01850
OG0000409	Pram.g_00341	Pran.g_01849
OG0000410	Pram.g_00342	Pran.g_01848
OG0000411	Pram.g_00343	Pran.g_01847
OG0000412	Pram.g_00344	Pran.g_01846
OG0000413	Pram.g_00345	Pran.g_01845
OG0000414	Pram.g_00346	Pran.g_01844
OG0000415	Pram.g_00347	Pran.g_01843
OG0000416	Pram.g_00351	Pran.g_01840
OG0000417	Pram.g_00352	Pran.g_01839
OG0000418	Pram.g_00354	Pran.g_01838
OG0000419	Pram.g_00355	Pran.g_01837
OG0000420	Pram.g_00864	Pran.g_01835
OG0000421	Pram.g_01184	Pran.g_01823
OG0000422	Pram.g_01537	Pran.g_01816
OG0000423	Pram.g_01177	Pran.g_01815
OG0000424	Pram.g_01696	Pran.g_01808
OG0000425	Pram.g_00366	Pran.g_01749
OG0000426	Pram.g_00367	Pran.g_01748
OG0000427	Pram.g_00368	Pran.g_01747
OG0000428	Pram.g_00370	Pran.g_01745
OG0000429	Pram.g_00371	Pran.g_01744
OG0000430	Pram.g_00373	Pran.g_01742
OG0000431	Pram.g_00374	Pran.g_01741
OG0000432	Pram.g_00375	Pran.g_01740
OG0000433	Pram.g_00376	Pran.g_01739
OG0000434	Pram.g_00377	Pran.g_01738
OG0000435	Pram.g_00378	Pran.g_01737
OG0000436	Pram.g_00379	Pran.g_01736
OG0000437	Pram.g_00380	Pran.g_01735
OG0000438	Pram.g_00381	Pran.g_01734
OG0000439	Pram.g_00382	Pran.g_01733
OG0000440	Pram.g_00383	Pran.g_01729
OG0000441	Pram.g_00384	Pran.g_01728
OG0000442	Pram.g_00385	Pran.g_01727
OG0000443	Pram.g_00386	Pran.g_01726
OG0000444	Pram.g_00387	Pran.g_01725
OG0000445	Pram.g_00393	Pran.g_01724
OG0000446	Pram.g_00395	Pran.g_01723
OG0000447	Pram.g_00396	Pran.g_01722
OG0000448	Pram.g_00397	Pran.g_01720
OG0000449	Pram.g_00400	Pran.g_01717
OG0000450	Pram.g_00401	Pran.g_01716
OG0000451	Pram.g_00402	Pran.g_01715
OG0000452	Pram.g_00404	Pran.g_01714
OG0000453	Pram.g_00406	Pran.g_01713
OG0000454	Pram.g_00407	Pran.g_01707
OG0000455	Pram.g_00409	Pran.g_01705
OG0000456	Pram.g_00413	Pran.g_01701
OG0000457	Pram.g_00414	Pran.g_01700
OG0000458	Pram.g_00415	Pran.g_01699
OG0000459	Pram.g_00417	Pran.g_01697
OG0000460	Pram.g_00419	Pran.g_01695
OG0000461	Pram.g_00420	Pran.g_01694
OG0000462	Pram.g_00421	Pran.g_01693
OG0000463	Pram.g_00423	Pran.g_01691
OG0000464	Pram.g_00424	Pran.g_01690
OG0000465	Pram.g_00425	Pran.g_01689
OG0000466	Pram.g_00426	Pran.g_01688
OG0000467	Pram.g_00427	Pran.g_01687
OG0000468	Pram.g_00428	Pran.g_01686
OG0000469	Pram.g_00429	Pran.g_01685
OG0000470	Pram.g_00430	Pran.g_01684
OG0000471	Pram.g_00431	Pran.g_01683
OG0000472	Pram.g_00438	Pran.g_01678
OG0000473	Pram.g_00439	Pran.g_01677
OG0000474	Pram.g_00440	Pran.g_01676
OG0000475	Pram.g_00441	Pran.g_01675
OG0000476	Pram.g_00442	Pran.g_01673
OG0000477	Pram.g_00443	Pran.g_01672
OG0000478	Pram.g_00444	Pran.g_01671
OG0000479	Pram.g_00445	Pran.g_01670
OG0000480	Pram.g_00447	Pran.g_01668
OG0000481	Pram.g_00449	Pran.g_01666
OG0000482	Pram.g_00450	Pran.g_01665
OG0000483	Pram.g_00452	Pran.g_01663
OG0000484	Pram.g_00453	Pran.g_01662
OG0000485	Pram.g_00454	Pran.g_01661
OG0000486	Pram.g_00456	Pran.g_01660
OG0000487	Pram.g_00461	Pran.g_01655
OG0000488	Pram.g_00462	Pran.g_01653
OG0000489	Pram.g_00463	Pran.g_01652
OG0000490	Pram.g_00464	Pran.g_01651
OG0000491	Pram.g_00465	Pran.g_01650
OG0000492	Pram.g_00466	Pran.g_01649
OG0000493	Pram.g_00468	Pran.g_01648
OG0000494	Pram.g_00469	Pran.g_01647
OG0000495	Pram.g_00472	Pran.g_01644
OG0000496	Pram.g_00473	Pran.g_01643
OG0000497	Pram.g_00474	Pran.g_01642
OG0000498	Pram.g_00475	Pran.g_01641
OG0000499	Pram.g_00476	Pran.g_01640
OG0000500	Pram.g_00477	Pran.g_01638
OG0000501	Pram.g_00478	Pran.g_01637
OG0000502	Pram.g_00479	Pran.g_01636
OG0000503	Pram.g_00481	Pran.g_01634
OG0000504	Pram.g_00482	Pran.g_01633
OG0000505	Pram.g_00483	Pran.g_01632
OG0000506	Pram.g_00484	Pran.g_01631
OG0000507	Pram.g_00485	Pran.g_01630
OG0000508	Pram.g_00486	Pran.g_01629
OG0000509	Pram.g_00487	Pran.g_01628
OG0000510	Pram.g_00488	Pran.g_01627
OG0000511	Pram.g_00490	Pran.g_01625
OG0000512	Pram.g_00491	Pran.g_01624
OG0000513	Pram.g_00492	Pran.g_01623
OG0000514	Pram.g_00493	Pran.g_01622
OG0000515	Pram.g_00494	Pran.g_01621
OG0000516	Pram.g_00495	Pran.g_01620
OG0000517	Pram.g_00497	Pran.g_01618
OG0000518	Pram.g_00498	Pran.g_01617
OG0000519	Pram.g_00500	Pran.g_01616
OG0000520	Pram.g_00502	Pran.g_01614
OG0000521	Pram.g_00503	Pran.g_01613
OG0000522	Pram.g_00504	Pran.g_01612
OG0000523	Pram.g_00505	Pran.g_01611
OG0000524	Pram.g_00506	Pran.g_01610
OG0000525	Pram.g_00507	Pran.g_01609
OG0000526	Pram.g_00508	Pran.g_01608
OG0000527	Pram.g_00509	Pran.g_01607
OG0000528	Pram.g_00510	Pran.g_01606
OG0000529	Pram.g_00511	Pran.g_01605
OG0000530	Pram.g_00512	Pran.g_01604
OG0000531	Pram.g_00513	Pran.g_01603
OG0000532	Pram.g_00514	Pran.g_01602
OG0000533	Pram.g_00516	Pran.g_01600
OG0000534	Pram.g_00517	Pran.g_01599
OG0000535	Pram.g_00518	Pran.g_01598
OG0000536	Pram.g_00519	Pran.g_01597
OG0000537	Pram.g_00520	Pran.g_01596
OG0000538	Pram.g_00521	Pran.g_01595
OG0000539	Pram.g_00523	Pran.g_01592
OG0000540	Pram.g_00524	Pran.g_01591
OG0000541	Pram.g_00525	Pran.g_01590
OG0000542	Pram.g_00528	Pran.g_01587
OG0000543	Pram.g_00529	Pran.g_01586
OG0000544	Pram.g_00530	Pran.g_01585
OG0000545	Pram.g_00531	Pran.g_01584
OG0000546	Pram.g_00532	Pran.g_01583
OG0000547	Pram.g_00533	Pran.g_01582
OG0000548	Pram.g_00534	Pran.g_01581
OG0000549	Pram.g_00536	Pran.g_01579
OG0000550	Pram.g_00537	Pran.g_01578
OG0000551	Pram.g_00538	Pran.g_01577
OG0000552	Pram.g_00539	Pran.g_01576
OG0000553	Pram.g_00540	Pran.g_01575
OG0000554	Pram.g_00541	Pran.g_01574
OG0000555	Pram.g_00543	Pran.g_01573
OG0000556	Pram.g_00544	Pran.g_01572
OG0000557	Pram.g_00545	Pran.g_01571
OG0000558	Pram.g_00546	Pran.g_01570
OG0000559	Pram.g_00547	Pran.g_01569
OG0000560	Pram.g_00548	Pran.g_01568
OG0000561	Pram.g_00549	Pran.g_01567
OG0000562	Pram.g_00550	Pran.g_01566
OG0000563	Pram.g_00551	Pran.g_01565
OG0000564	Pram.g_00552	Pran.g_01564
OG0000565	Pram.g_00553	Pran.g_01563
OG0000566	Pram.g_00554	Pran.g_01562
OG0000567	Pram.g_00555	Pran.g_01561
OG0000568	Pram.g_00556	Pran.g_01560
OG0000569	Pram.g_00559	Pran.g_01557
OG0000570	Pram.g_00560	Pran.g_01556
OG0000571	Pram.g_00562	Pran.g_01554
OG0000572	Pram.g_00564	Pran.g_01553
OG0000573	Pram.g_00565	Pran.g_01552
OG0000574	Pram.g_00566	Pran.g_01551
OG0000575	Pram.g_00568	Pran.g_01550
OG0000576	Pram.g_00569	Pran.g_01549
OG0000577	Pram.g_01080	Pran.g_01548
OG0000578	Pram.g_01079	Pran.g_01547
OG0000579	Pram.g_01078	Pran.g_01546
OG0000580	Pram.g_01077	Pran.g_01545
OG0000581	Pram.g_01076	Pran.g_01544
OG0000582	Pram.g_01075	Pran.g_01543
OG0000583	Pram.g_01074	Pran.g_01542
OG0000584	Pram.g_01073	Pran.g_01540
OG0000585	Pram.g_01072	Pran.g_01539
OG0000586	Pram.g_01070	Pran.g_01538
OG0000587	Pram.g_01069	Pran.g_01537
