Orthogroup	Prar	Prbl
OG0000196	Prar.g_00571	Prbl.g_02266
OG0000197	Prar.g_00569	Prbl.g_02274
OG0000198	Prar.g_00568	Prbl.g_02275
OG0000199	Prar.g_00567	Prbl.g_02276
OG0000200	Prar.g_00554	Prbl.g_00614
OG0000201	Prar.g_00553	Prbl.g_00613
OG0000202	Prar.g_00552	Prbl.g_00612
OG0000203	Prar.g_00549	Prbl.g_00608
OG0000204	Prar.g_00548	Prbl.g_00607
OG0000205	Prar.g_00255	Prbl.g_00603
OG0000206	Prar.g_00253	Prbl.g_00601
OG0000207	Prar.g_00251	Prbl.g_00597
OG0000208	Prar.g_00250	Prbl.g_00596
OG0000209	Prar.g_00249	Prbl.g_01075
OG0000210	Prar.g_00248	Prbl.g_00595
OG0000211	Prar.g_00247	Prbl.g_00592
OG0000212	Prar.g_00246	Prbl.g_00591
OG0000213	Prar.g_00245	Prbl.g_00590
OG0000214	Prar.g_00244	Prbl.g_00589
OG0000215	Prar.g_00243	Prbl.g_00588
OG0000216	Prar.g_00242	Prbl.g_00587
OG0000217	Prar.g_00240	Prbl.g_00583
OG0000218	Prar.g_00239	Prbl.g_00582
OG0000219	Prar.g_00238	Prbl.g_00576
OG0000220	Prar.g_00237	Prbl.g_00572
OG0000221	Prar.g_00234	Prbl.g_00567
OG0000222	Prar.g_00233	Prbl.g_00566
OG0000223	Prar.g_00232	Prbl.g_00565
OG0000224	Prar.g_00231	Prbl.g_00563
OG0000225	Prar.g_00230	Prbl.g_00562
OG0000226	Prar.g_00229	Prbl.g_00561
OG0000227	Prar.g_00228	Prbl.g_00559
OG0000228	Prar.g_00227	Prbl.g_00558
OG0000229	Prar.g_00226	Prbl.g_00557
OG0000230	Prar.g_00225	Prbl.g_00556
OG0000231	Prar.g_00224	Prbl.g_00555
OG0000232	Prar.g_00222	Prbl.g_00553
OG0000233	Prar.g_00221	Prbl.g_00552
OG0000234	Prar.g_00220	Prbl.g_00551
OG0000235	Prar.g_00219	Prbl.g_00548
OG0000236	Prar.g_00218	Prbl.g_00544
OG0000237	Prar.g_00217	Prbl.g_00542
OG0000238	Prar.g_00216	Prbl.g_01332
OG0000239	Prar.g_00214	Prbl.g_01330
OG0000240	Prar.g_00213	Prbl.g_01328
OG0000241	Prar.g_00212	Prbl.g_01326
OG0000242	Prar.g_00211	Prbl.g_01325
OG0000243	Prar.g_00208	Prbl.g_01320
OG0000244	Prar.g_00206	Prbl.g_01315
OG0000245	Prar.g_00205	Prbl.g_01314
OG0000246	Prar.g_00204	Prbl.g_01313
OG0000247	Prar.g_00201	Prbl.g_00827
OG0000248	Prar.g_00199	Prbl.g_00825
OG0000249	Prar.g_00198	Prbl.g_00822
OG0000250	Prar.g_00197	Prbl.g_00820
OG0000251	Prar.g_00196	Prbl.g_00819
OG0000252	Prar.g_00195	Prbl.g_00818
OG0000253	Prar.g_00194	Prbl.g_00817
OG0000254	Prar.g_00192	Prbl.g_00815
OG0000255	Prar.g_00191	Prbl.g_00814
OG0000256	Prar.g_00188	Prbl.g_00809
OG0000257	Prar.g_00186	Prbl.g_00305
OG0000258	Prar.g_00182	Prbl.g_00303
OG0000259	Prar.g_00181	Prbl.g_00302
OG0000260	Prar.g_00180	Prbl.g_00301
OG0000261	Prar.g_00179	Prbl.g_00300
OG0000262	Prar.g_00178	Prbl.g_00299
OG0000263	Prar.g_00176	Prbl.g_00297
OG0000264	Prar.g_00175	Prbl.g_00296
OG0000265	Prar.g_00174	Prbl.g_00295
OG0000266	Prar.g_00173	Prbl.g_00294
OG0000267	Prar.g_00172	Prbl.g_00293
OG0000268	Prar.g_00171	Prbl.g_00291
OG0000269	Prar.g_00169	Prbl.g_00289
OG0000270	Prar.g_00168	Prbl.g_00288
OG0000271	Prar.g_00167	Prbl.g_00287
OG0000272	Prar.g_00166	Prbl.g_00286
OG0000273	Prar.g_00165	Prbl.g_00285
OG0000274	Prar.g_00164	Prbl.g_00284
OG0000275	Prar.g_00163	Prbl.g_00283
OG0000276	Prar.g_00162	Prbl.g_00282
OG0000277	Prar.g_00160	Prbl.g_00280
OG0000278	Prar.g_00159	Prbl.g_00279
OG0000279	Prar.g_00158	Prbl.g_00278
OG0000280	Prar.g_00156	Prbl.g_00276
OG0000281	Prar.g_00154	Prbl.g_00275
OG0000282	Prar.g_00153	Prbl.g_00274
OG0000283	Prar.g_00152	Prbl.g_00273
OG0000284	Prar.g_00151	Prbl.g_00272
OG0000285	Prar.g_00150	Prbl.g_00271
OG0000286	Prar.g_00149	Prbl.g_00270
OG0000287	Prar.g_00148	Prbl.g_00269
OG0000288	Prar.g_00146	Prbl.g_02377
OG0000289	Prar.g_00145	Prbl.g_00066
OG0000290	Prar.g_00144	Prbl.g_00068
OG0000291	Prar.g_00142	Prbl.g_00072
OG0000292	Prar.g_00141	Prbl.g_00074
OG0000293	Prar.g_00140	Prbl.g_00077
OG0000294	Prar.g_00139	Prbl.g_00079
OG0000295	Prar.g_00138	Prbl.g_00082
OG0000296	Prar.g_00137	Prbl.g_00083
OG0000297	Prar.g_00136	Prbl.g_00086
OG0000298	Prar.g_00134	Prbl.g_00089
OG0000299	Prar.g_00133	Prbl.g_00090
OG0000300	Prar.g_00132	Prbl.g_00091
OG0000301	Prar.g_00131	Prbl.g_00092
OG0000302	Prar.g_00130	Prbl.g_00093
OG0000303	Prar.g_00129	Prbl.g_00094
OG0000304	Prar.g_00127	Prbl.g_00096
OG0000305	Prar.g_00126	Prbl.g_00097
OG0000306	Prar.g_00123	Prbl.g_00104
OG0000307	Prar.g_00122	Prbl.g_00105
OG0000308	Prar.g_00121	Prbl.g_01283
OG0000309	Prar.g_00120	Prbl.g_01282
OG0000310	Prar.g_00119	Prbl.g_01281
OG0000311	Prar.g_00118	Prbl.g_00130
OG0000312	Prar.g_00117	Prbl.g_00129
OG0000313	Prar.g_00116	Prbl.g_00127
OG0000314	Prar.g_00115	Prbl.g_00126
OG0000315	Prar.g_00114	Prbl.g_00124
OG0000316	Prar.g_00113	Prbl.g_01244
OG0000317	Prar.g_00112	Prbl.g_01245
OG0000318	Prar.g_00111	Prbl.g_01246
OG0000319	Prar.g_00110	Prbl.g_01252
OG0000320	Prar.g_00109	Prbl.g_01253
OG0000321	Prar.g_00108	Prbl.g_01256
OG0000322	Prar.g_00107	Prbl.g_01257
OG0000323	Prar.g_00106	Prbl.g_01258
OG0000324	Prar.g_00105	Prbl.g_01259
OG0000325	Prar.g_00104	Prbl.g_01260
OG0000326	Prar.g_00103	Prbl.g_01261
OG0000327	Prar.g_00102	Prbl.g_01262
OG0000328	Prar.g_00101	Prbl.g_01264
OG0000329	Prar.g_00100	Prbl.g_01265
OG0000330	Prar.g_00099	Prbl.g_01266
OG0000331	Prar.g_00098	Prbl.g_01918
OG0000332	Prar.g_00097	Prbl.g_01769
OG0000333	Prar.g_00096	Prbl.g_01770
OG0000334	Prar.g_00095	Prbl.g_01771
OG0000335	Prar.g_00094	Prbl.g_01922
OG0000336	Prar.g_00092	Prbl.g_01923
OG0000337	Prar.g_00091	Prbl.g_00199
OG0000338	Prar.g_00087	Prbl.g_00192
OG0000339	Prar.g_00085	Prbl.g_02679
OG0000340	Prar.g_00083	Prbl.g_02666
OG0000341	Prar.g_00082	Prbl.g_01516
OG0000342	Prar.g_00081	Prbl.g_01515
OG0000343	Prar.g_00080	Prbl.g_01513
OG0000344	Prar.g_00077	Prbl.g_01508
OG0000345	Prar.g_00334	Prbl.g_01499
OG0000346	Prar.g_00333	Prbl.g_01498
OG0000347	Prar.g_00330	Prbl.g_01496
OG0000348	Prar.g_00328	Prbl.g_01494
OG0000349	Prar.g_00327	Prbl.g_01492
OG0000350	Prar.g_00325	Prbl.g_01486
OG0000351	Prar.g_00324	Prbl.g_01919
OG0000352	Prar.g_00323	Prbl.g_01473
OG0000353	Prar.g_00322	Prbl.g_01472
OG0000354	Prar.g_00321	Prbl.g_01470
OG0000355	Prar.g_00320	Prbl.g_01469
OG0000356	Prar.g_00319	Prbl.g_01468
OG0000357	Prar.g_00318	Prbl.g_01467
OG0000358	Prar.g_00317	Prbl.g_01466
OG0000359	Prar.g_00316	Prbl.g_01464
OG0000360	Prar.g_00312	Prbl.g_01459
OG0000361	Prar.g_00311	Prbl.g_01458
OG0000362	Prar.g_00310	Prbl.g_01457
OG0000363	Prar.g_00309	Prbl.g_01455
OG0000364	Prar.g_00305	Prbl.g_01450
OG0000365	Prar.g_00304	Prbl.g_01449
OG0000366	Prar.g_00302	Prbl.g_01447
OG0000367	Prar.g_00301	Prbl.g_01445
OG0000368	Prar.g_00300	Prbl.g_01444
OG0000369	Prar.g_00299	Prbl.g_01443
OG0000370	Prar.g_00298	Prbl.g_01442
OG0000371	Prar.g_00297	Prbl.g_01441
OG0000372	Prar.g_00296	Prbl.g_01440
OG0000373	Prar.g_00295	Prbl.g_01439
OG0000374	Prar.g_00293	Prbl.g_01436
OG0000375	Prar.g_00292	Prbl.g_01435
OG0000376	Prar.g_00289	Prbl.g_01431
OG0000377	Prar.g_00288	Prbl.g_01428
OG0000378	Prar.g_00287	Prbl.g_01427
OG0000379	Prar.g_00286	Prbl.g_01426
OG0000380	Prar.g_00285	Prbl.g_01421
OG0000381	Prar.g_00284	Prbl.g_01420
OG0000382	Prar.g_00283	Prbl.g_01419
OG0000383	Prar.g_00282	Prbl.g_01417
OG0000384	Prar.g_00279	Prbl.g_01414
OG0000385	Prar.g_00278	Prbl.g_01413
OG0000386	Prar.g_00277	Prbl.g_00911
OG0000387	Prar.g_00276	Prbl.g_00909
OG0000388	Prar.g_00275	Prbl.g_00908
OG0000389	Prar.g_00274	Prbl.g_00907
OG0000390	Prar.g_00273	Prbl.g_00906
OG0000391	Prar.g_00272	Prbl.g_00905
OG0000392	Prar.g_00271	Prbl.g_00904
OG0000393	Prar.g_00270	Prbl.g_00903
OG0000394	Prar.g_00269	Prbl.g_00902
OG0000395	Prar.g_00268	Prbl.g_00901
OG0000396	Prar.g_00266	Prbl.g_00898
OG0000397	Prar.g_00264	Prbl.g_00888
OG0000398	Prar.g_00263	Prbl.g_00886
OG0000399	Prar.g_00260	Prbl.g_01183
OG0000400	Prar.g_00259	Prbl.g_01190
OG0000401	Prar.g_00258	Prbl.g_01191
OG0000402	Prar.g_00394	Prbl.g_01201
OG0000403	Prar.g_00395	Prbl.g_01203
OG0000404	Prar.g_00396	Prbl.g_01204
OG0000405	Prar.g_00398	Prbl.g_01206
OG0000406	Prar.g_00401	Prbl.g_01210
OG0000407	Prar.g_00402	Prbl.g_01211
OG0000408	Prar.g_00405	Prbl.g_01217
OG0000409	Prar.g_00406	Prbl.g_01218
OG0000410	Prar.g_00407	Prbl.g_01219
OG0000411	Prar.g_00408	Prbl.g_01220
OG0000412	Prar.g_00409	Prbl.g_01221
OG0000413	Prar.g_00410	Prbl.g_01222
OG0000414	Prar.g_00411	Prbl.g_01223
OG0000415	Prar.g_00412	Prbl.g_01224
OG0000416	Prar.g_00415	Prbl.g_02673
OG0000417	Prar.g_00416	Prbl.g_02674
OG0000418	Prar.g_00417	Prbl.g_02677
OG0000419	Prar.g_00418	Prbl.g_02678
OG0000420	Prar.g_00419	Prbl.g_01564
OG0000421	Prar.g_00432	Prbl.g_00609
OG0000422	Prar.g_00440	Prbl.g_00410
OG0000423	Prar.g_00441	Prbl.g_01693
OG0000424	Prar.g_00446	Prbl.g_02681
OG0000425	Prar.g_00479	Prbl.g_00676
OG0000426	Prar.g_00480	Prbl.g_00675
OG0000427	Prar.g_00481	Prbl.g_00663
OG0000428	Prar.g_00483	Prbl.g_00653
OG0000429	Prar.g_00484	Prbl.g_00652
OG0000430	Prar.g_00486	Prbl.g_00650
OG0000431	Prar.g_00487	Prbl.g_00649
OG0000432	Prar.g_00488	Prbl.g_00648
OG0000433	Prar.g_00489	Prbl.g_00647
OG0000434	Prar.g_00490	Prbl.g_00645
OG0000435	Prar.g_00491	Prbl.g_00644
OG0000436	Prar.g_00492	Prbl.g_00643
