Orthogroup	Syai	Prau
OG0000182	Syai.g_00026	Prau.g_00019
OG0000183	Syai.g_00030	Prau.g_00023
OG0000184	Syai.g_02756	Prau.g_00054
OG0000185	Syai.g_02734	Prau.g_00057
OG0000186	Syai.g_02469	Prau.g_00066
OG0000187	Syai.g_02471	Prau.g_00067
OG0000188	Syai.g_00696, Syai.g_02494	Prau.g_00083
OG0000189	Syai.g_02530	Prau.g_00097
OG0000190	Syai.g_02532	Prau.g_00098
OG0000191	Syai.g_02562	Prau.g_00118
OG0000192	Syai.g_02569	Prau.g_00122
OG0000193	Syai.g_02609	Prau.g_00147
OG0000194	Syai.g_02612	Prau.g_00150
OG0000195	Syai.g_02614	Prau.g_00152
OG0000196	Syai.g_02625	Prau.g_00162
OG0000197	Syai.g_02626	Prau.g_00163
OG0000198	Syai.g_02627	Prau.g_00164
OG0000199	Syai.g_02635	Prau.g_00171
OG0000200	Syai.g_02651	Prau.g_00185
OG0000201	Syai.g_02667	Prau.g_00193
OG0000202	Syai.g_02668	Prau.g_00194
OG0000203	Syai.g_02669	Prau.g_00195
OG0000204	Syai.g_02670	Prau.g_00196
OG0000205	Syai.g_02677	Prau.g_00203
OG0000206	Syai.g_02684	Prau.g_00208
OG0000207	Syai.g_02686	Prau.g_00210
OG0000208	Syai.g_02687	Prau.g_00211
OG0000209	Syai.g_02699	Prau.g_00220
OG0000210	Syai.g_02700	Prau.g_00221
OG0000211	Syai.g_00533	Prau.g_00234
OG0000212	Syai.g_00544	Prau.g_00241
OG0000213	Syai.g_00292	Prau.g_00259
OG0000214	Syai.g_00276	Prau.g_00269
OG0000215	Syai.g_00245	Prau.g_00294
OG0000216	Syai.g_00241	Prau.g_00296
OG0000217	Syai.g_00237	Prau.g_00299
OG0000218	Syai.g_00235	Prau.g_00301
OG0000219	Syai.g_00234	Prau.g_00302
OG0000220	Syai.g_00233	Prau.g_00303
OG0000221	Syai.g_00227	Prau.g_00304
OG0000222	Syai.g_00215	Prau.g_00312
OG0000223	Syai.g_00194	Prau.g_00325
OG0000224	Syai.g_00186	Prau.g_00327
OG0000225	Syai.g_00502	Prau.g_00348
OG0000226	Syai.g_00506	Prau.g_00352
OG0000227	Syai.g_00508	Prau.g_00354
OG0000228	Syai.g_00516	Prau.g_00357
OG0000229	Syai.g_02228	Prau.g_00477
OG0000230	Syai.g_02226	Prau.g_00479
OG0000231	Syai.g_02208	Prau.g_00490
OG0000232	Syai.g_00846	Prau.g_00499
OG0000233	Syai.g_00855	Prau.g_00505
OG0000234	Syai.g_00866	Prau.g_00517
OG0000235	Syai.g_00637	Prau.g_00520
OG0000236	Syai.g_00652	Prau.g_00534
OG0000237	Syai.g_00669	Prau.g_00547
OG0000238	Syai.g_00674	Prau.g_00553
OG0000239	Syai.g_00691	Prau.g_00565
OG0000240	Syai.g_00692	Prau.g_00566
OG0000241	Syai.g_01085, Syai.g_01089	Prau.g_00570
OG0000242	Syai.g_00705	Prau.g_00572
OG0000243	Syai.g_00726	Prau.g_00583
OG0000244	Syai.g_00731	Prau.g_00586
OG0000245	Syai.g_00733	Prau.g_00588
OG0000246	Syai.g_00737	Prau.g_00592
OG0000247	Syai.g_00748	Prau.g_00602
OG0000248	Syai.g_00751	Prau.g_00604
OG0000249	Syai.g_00753	Prau.g_00606
OG0000250	Syai.g_00762	Prau.g_00611
OG0000251	Syai.g_00789	Prau.g_00629
OG0000252	Syai.g_00797	Prau.g_00632
OG0000253	Syai.g_00798	Prau.g_00633
OG0000254	Syai.g_01045	Prau.g_00649
OG0000255	Syai.g_01061	Prau.g_00655
OG0000256	Syai.g_01077	Prau.g_00667
OG0000257	Syai.g_01084	Prau.g_00670
OG0000258	Syai.g_01113	Prau.g_00683
OG0000259	Syai.g_01229	Prau.g_00700
OG0000260	Syai.g_01232	Prau.g_00703
OG0000261	Syai.g_01235	Prau.g_00705
OG0000262	Syai.g_01240	Prau.g_00709
OG0000263	Syai.g_01776	Prau.g_00721
OG0000264	Syai.g_01962	Prau.g_00731
OG0000265	Syai.g_02245	Prau.g_00755
OG0000266	Syai.g_01401	Prau.g_00765
OG0000267	Syai.g_01569	Prau.g_00776
OG0000268	Syai.g_01568	Prau.g_00777
OG0000269	Syai.g_01316	Prau.g_00849
OG0000270	Syai.g_01319	Prau.g_00852
OG0000271	Syai.g_01327	Prau.g_00860
OG0000272	Syai.g_01328	Prau.g_00861
OG0000273	Syai.g_02037	Prau.g_00884
OG0000274	Syai.g_02038	Prau.g_00885
OG0000275	Syai.g_02043	Prau.g_00887
OG0000276	Syai.g_02051	Prau.g_00892
OG0000277	Syai.g_02052	Prau.g_00893
OG0000278	Syai.g_02055	Prau.g_00896
OG0000279	Syai.g_02063	Prau.g_00904
OG0000280	Syai.g_02084	Prau.g_00905
OG0000281	Syai.g_01719	Prau.g_00910
OG0000282	Syai.g_01263	Prau.g_00958
OG0000283	Syai.g_01554	Prau.g_00992
OG0000284	Syai.g_01548	Prau.g_00997
OG0000285	Syai.g_01522	Prau.g_01002
OG0000286	Syai.g_01504	Prau.g_01014
OG0000287	Syai.g_01469	Prau.g_01031
OG0000288	Syai.g_01435	Prau.g_01062
OG0000289	Syai.g_01421	Prau.g_01073
OG0000290	Syai.g_02010	Prau.g_01086
OG0000291	Syai.g_02008	Prau.g_01088
OG0000292	Syai.g_02926	Prau.g_01136
OG0000293	Syai.g_02155	Prau.g_01198
OG0000294	Syai.g_02154	Prau.g_01199
