Orthogroup	Species	Pran	Orthologs
OG0000002	Syai	Pran.g_01500	Syai.g_01728
OG0000002	Syam	Pran.g_01500	Syam.g_00931
OG0000002	Syad	Pran.g_01500	Syad.g_00619
OG0000002	Syaj	Pran.g_01500	Syaj.g_02667
OG0000002	Syab	Pran.g_01500	Syab.g_02285
OG0000002	Syac	Pran.g_01500	Syac.g_01084
OG0000002	Syah	Pran.g_01500	Syah.g_01829
OG0000002	Prbj	Pran.g_01500	Prbj.g_00030
OG0000002	Prbk	Pran.g_01500	Prbk.g_01649
OG0000002	Prbl	Pran.g_01500	Prbl.g_01092
OG0000002	Praf	Pran.g_01500	Praf.g_00948
OG0000002	Prah	Pran.g_01500	Prah.g_01226
OG0000002	Praj	Pran.g_01500	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000002	Prbb	Pran.g_01500	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000002	Prbm	Pran.g_01500	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000002	Prbc	Pran.g_01500	Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000002	Pral	Pran.g_01500	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000002	Prat	Pran.g_01500	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000002	Prak	Pran.g_01500	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000002	Prap	Pran.g_01500	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000002	Prbe	Pran.g_01500	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000002	Prbf	Pran.g_01500	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000002	Prbg	Pran.g_01500	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000002	Prbn	Pran.g_01500	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000002	Pram	Pran.g_01500	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000002	Prbh	Pran.g_01500	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000002	Prag	Pran.g_01500	Prag.g_00656
OG0000002	Praw	Pran.g_01500	Praw.g_01844
OG0000002	Prav	Pran.g_01500	Prav.g_01276
OG0000002	Prac	Pran.g_01500	Prac.g_00693
OG0000002	Praq	Pran.g_01500	Praq.g_00807
OG0000002	Prar	Pran.g_01500	Prar.g_01508
OG0000002	Pras	Pran.g_01500	Pras.g_01554
OG0000002	Prau	Pran.g_01500	Prau.g_00718
OG0000002	Praa	Pran.g_01500	Praa.g_00678
OG0000002	Prae	Pran.g_01500	Prae.g_00652
OG0000002	Prax	Pran.g_01500	Prax.g_00964
OG0000002	Prbi	Pran.g_01500	Prbi.g_00681
OG0000002	Prao	Pran.g_01500	Prao.g_00116
OG0000002	Pray	Pran.g_01500	Pray.g_01085
OG0000002	Praz	Pran.g_01500	Praz.g_01652
OG0000002	Prba	Pran.g_01500	Prba.g_01639
OG0000002	Prbd	Pran.g_01500	Prbd.g_00566
OG0000002	Prad	Pran.g_01500	Prad.g_01252
OG0000002	Prai	Pran.g_01500	Prai.g_00707
OG0000002	Prab	Pran.g_01500	Prab.g_00683
OG0000004	Syaq	Pran.g_01483	Syaq.g_02603
OG0000004	Praj	Pran.g_01483	Praj.g_01396
OG0000004	Prbc	Pran.g_01483	Prbc.g_01381
OG0000004	Prbm	Pran.g_01483	Prbm.g_01483
OG0000004	Prbb	Pran.g_01483	Prbb.g_01450
OG0000004	Syan	Pran.g_01483	Syan.g_00183
OG0000004	Syar	Pran.g_01483	Syar.g_02051
OG0000004	Syas	Pran.g_01483	Syas.g_00176
OG0000004	Syao	Pran.g_01483	Syao.g_02374
OG0000004	Syae	Pran.g_01483	Syae.g_00779
OG0000004	Syac	Pran.g_01483	Syac.g_00898
OG0000004	Syah	Pran.g_01483	Syah.g_02017
OG0000004	Syam	Pran.g_01483	Syam.g_00787
OG0000004	Syai	Pran.g_01483	Syai.g_01994
OG0000004	Syaf	Pran.g_01483	Syaf.g_01455
OG0000004	Syaa	Pran.g_01483	Syaa.g_00892
OG0000004	Syad	Pran.g_01483	Syad.g_01304
OG0000004	Syaj	Pran.g_01483	Syaj.g_00441
