Orthogroup	Prac	Praj
OG0000426	Prac.g_01752	Praj.g_00217
OG0000427	Prac.g_01751	Praj.g_00218
OG0000428	Prac.g_01749	Praj.g_00220
OG0000429	Prac.g_01748	Praj.g_00221
OG0000430	Prac.g_01747	Praj.g_00222
OG0000431	Prac.g_01745	Praj.g_00224
OG0000432	Prac.g_01742	Praj.g_00228
OG0000433	Prac.g_01741	Praj.g_00229
OG0000434	Prac.g_01740	Praj.g_00230
OG0000435	Prac.g_01739	Praj.g_00231
OG0000436	Prac.g_01734	Praj.g_00236
OG0000437	Prac.g_01733	Praj.g_00237
OG0000438	Prac.g_01732	Praj.g_00238
OG0000439	Prac.g_01730	Praj.g_00240
OG0000440	Prac.g_01729	Praj.g_00241
OG0000441	Prac.g_01726	Praj.g_00243
OG0000442	Prac.g_01725	Praj.g_00244
OG0000443	Prac.g_01724	Praj.g_00245
OG0000444	Prac.g_01719	Praj.g_00250
OG0000445	Prac.g_01718	Praj.g_00251
OG0000446	Prac.g_01717	Praj.g_00252
OG0000447	Prac.g_01716	Praj.g_00253
OG0000448	Prac.g_01715	Praj.g_00254
OG0000449	Prac.g_01714	Praj.g_00255
OG0000450	Prac.g_01713	Praj.g_00256
OG0000451	Prac.g_01712	Praj.g_00257
OG0000452	Prac.g_01709	Praj.g_00260
OG0000453	Prac.g_01708	Praj.g_00261
OG0000454	Prac.g_01707	Praj.g_00262
OG0000455	Prac.g_01706	Praj.g_00263
OG0000456	Prac.g_01705	Praj.g_00264
OG0000457	Prac.g_01704	Praj.g_00265
OG0000458	Prac.g_01703	Praj.g_00266
OG0000459	Prac.g_01702	Praj.g_00267
OG0000460	Prac.g_01695	Praj.g_00275
OG0000461	Prac.g_01688	Praj.g_00283
OG0000462	Prac.g_01686	Praj.g_00285
OG0000463	Prac.g_01685	Praj.g_00286
OG0000464	Prac.g_01684	Praj.g_00287
OG0000465	Prac.g_01683	Praj.g_00288
OG0000466	Prac.g_01680	Praj.g_00289
OG0000467	Prac.g_01679	Praj.g_00290
OG0000468	Prac.g_01678	Praj.g_00292
OG0000469	Prac.g_01669	Praj.g_00299
OG0000470	Prac.g_01667	Praj.g_00301
OG0000471	Prac.g_01666	Praj.g_00302
OG0000472	Prac.g_01665	Praj.g_00303
OG0000473	Prac.g_01663	Praj.g_00305
OG0000474	Prac.g_01662	Praj.g_00306
OG0000475	Prac.g_01661	Praj.g_00307
OG0000476	Prac.g_01660	Praj.g_00309
OG0000477	Prac.g_01656	Praj.g_00311
OG0000478	Prac.g_01655	Praj.g_00312
OG0000479	Prac.g_01654	Praj.g_00313
OG0000480	Prac.g_01649	Praj.g_00318
OG0000481	Prac.g_01647	Praj.g_00320
OG0000482	Prac.g_01646	Praj.g_00321
OG0000483	Prac.g_01643	Praj.g_00324
OG0000484	Prac.g_01642	Praj.g_00325
OG0000485	Prac.g_01641	Praj.g_00326
OG0000486	Prac.g_01640	Praj.g_00327
OG0000487	Prac.g_01636	Praj.g_00330
OG0000488	Prac.g_01633	Praj.g_00333
OG0000489	Prac.g_01628	Praj.g_00338
OG0000490	Prac.g_01623	Praj.g_00343
OG0000491	Prac.g_01622	Praj.g_00344
OG0000492	Prac.g_01620	Praj.g_00346
OG0000493	Prac.g_01619	Praj.g_00347
OG0000494	Prac.g_01618	Praj.g_00348
OG0000495	Prac.g_01617	Praj.g_00349
OG0000496	Prac.g_01616	Praj.g_00350
OG0000497	Prac.g_01615	Praj.g_00351
OG0000498	Prac.g_01614	Praj.g_00352
OG0000499	Prac.g_01613	Praj.g_00353
OG0000500	Prac.g_01612	Praj.g_00354
OG0000501	Prac.g_01610	Praj.g_00356
OG0000502	Prac.g_01607	Praj.g_00359
OG0000503	Prac.g_01200	Praj.g_00380
OG0000504	Prac.g_01199	Praj.g_00382
OG0000505	Prac.g_01198	Praj.g_00383
OG0000506	Prac.g_01196	Praj.g_00384
OG0000507	Prac.g_01193	Praj.g_00387
OG0000508	Prac.g_01189	Praj.g_00390
OG0000509	Prac.g_01187	Praj.g_00392
OG0000510	Prac.g_01186	Praj.g_00393
OG0000511	Prac.g_01185	Praj.g_00394
OG0000512	Prac.g_01183	Praj.g_00396
OG0000513	Prac.g_01176	Praj.g_00406
OG0000514	Prac.g_01116	Praj.g_00425
OG0000515	Prac.g_01115	Praj.g_00426
OG0000516	Prac.g_01114	Praj.g_00427
OG0000517	Prac.g_01112	Praj.g_00429
OG0000518	Prac.g_01101	Praj.g_00440
OG0000519	Prac.g_01100	Praj.g_00441
OG0000520	Prac.g_01099	Praj.g_00442
OG0000521	Prac.g_01094	Praj.g_00447
OG0000522	Prac.g_01092	Praj.g_00449
OG0000523	Prac.g_01091	Praj.g_00450
OG0000524	Prac.g_01084	Praj.g_00457
OG0000525	Prac.g_01081	Praj.g_00461
OG0000526	Prac.g_01080	Praj.g_00462
OG0000527	Prac.g_01071	Praj.g_00465
OG0000528	Prac.g_01066	Praj.g_00471
OG0000529	Prac.g_01063	Praj.g_00474
OG0000530	Prac.g_01060	Praj.g_00477
OG0000531	Prac.g_01059	Praj.g_00478
OG0000532	Prac.g_01057	Praj.g_00479
OG0000533	Prac.g_01056	Praj.g_00480
OG0000534	Prac.g_01055	Praj.g_00481
OG0000535	Prac.g_01054	Praj.g_00482
OG0000536	Prac.g_01053	Praj.g_00483
OG0000537	Prac.g_01052	Praj.g_00484
OG0000538	Prac.g_00871	Praj.g_00492
OG0000539	Prac.g_00870	Praj.g_00493
OG0000540	Prac.g_00869	Praj.g_00494
OG0000541	Prac.g_00868	Praj.g_00495
OG0000542	Prac.g_00866	Praj.g_00497
OG0000543	Prac.g_00864	Praj.g_00499
OG0000544	Prac.g_00863	Praj.g_00500
OG0000545	Prac.g_00861	Praj.g_00502
OG0000546	Prac.g_00858	Praj.g_00505
OG0000547	Prac.g_00857	Praj.g_00507
OG0000548	Prac.g_00856	Praj.g_00508
OG0000549	Prac.g_00854	Praj.g_00511
OG0000550	Prac.g_00849	Praj.g_00515
OG0000551	Prac.g_00845	Praj.g_00518
OG0000552	Prac.g_00844	Praj.g_00519
OG0000553	Prac.g_00843	Praj.g_00520
OG0000554	Prac.g_00838	Praj.g_00525
OG0000555	Prac.g_00830	Praj.g_00533
OG0000556	Prac.g_00828	Praj.g_00535
OG0000557	Prac.g_00827	Praj.g_00536
OG0000558	Prac.g_00825	Praj.g_00538
OG0000559	Prac.g_00821	Praj.g_00542
OG0000560	Prac.g_00818	Praj.g_00545
OG0000561	Prac.g_00817	Praj.g_00546
OG0000562	Prac.g_00816	Praj.g_00547
OG0000563	Prac.g_00815	Praj.g_00548
OG0000564	Prac.g_00814	Praj.g_00549
OG0000565	Prac.g_00811	Praj.g_00552
OG0000566	Prac.g_00809	Praj.g_00554
OG0000567	Prac.g_00805	Praj.g_00558
